,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
0,26.7,5.7,26.7,1.0,393000000.0,13.725012778033,293000000.0,86.8970824965,368000000.0,16.0883196208848
1,26.7,5.7,26.7,1.1,396000000.0,13.649679319198,296000000.0,90.11314063645,371000000.0,16.2712829452588
2,26.7,5.7,26.7,1.2,399000000.0,13.552315028857,299000000.0,94.048570885793,374000000.0,16.4270625892289
3,26.7,5.7,26.7,1.3,402000000.0,13.43667154507,302000000.0,99.068469109406,377000000.0,16.5585441332693
4,26.7,5.7,26.7,1.4,405000000.0,13.306003064097,305000000.0,105.46910696347099,380000000.0,16.668214147352
6,26.7,5.7,26.82,1.0,392000000.0,13.889762266089,292000000.0,88.95341674576599,367000000.0,16.50648286382
7,26.7,5.7,26.82,1.1,395000000.0,13.806707908088,295000000.0,92.482060530982,370000000.0,16.685639617813802
8,26.7,5.7,26.82,1.2,398000000.0,13.702879035325,298000000.0,96.880956526197,373000000.0,16.8385580621074
9,26.7,5.7,26.82,1.3,401000000.0,13.581998206945,301000000.0,102.602080750414,376000000.0,16.9680901058754
10,26.7,5.7,26.82,1.4,404000000.0,13.447253156294,304000000.0,109.713192308829,379000000.0,17.0766512085475
12,26.7,5.7,26.94,1.0,391000000.0,14.053871496198,291000000.0,91.180266756338,366000000.0,16.936390535646098
13,26.7,5.7,26.94,1.1,394000000.0,13.962995295854,294000000.0,95.10081666042,369000000.0,17.1116175267232
14,26.7,5.7,26.94,1.2,397000000.0,13.852660563396,297000000.0,100.099464596747,372000000.0,17.2616053480285
15,26.7,5.7,26.94,1.3,400000000.0,13.726544438118,300000000.0,106.734242007234,375000000.0,17.3891576420879
16,26.7,5.7,26.94,1.4,404000000.0,13.588790948096,304000000.0,107.604752570963,379000000.0,16.838660591609898
18,26.7,5.7,27.06,1.0,390000000.0,14.216880023006,290000000.0,93.621046813064,365000000.0,17.3773566245572
19,26.7,5.7,27.06,1.1,393000000.0,14.118115386264,293000000.0,98.047267594498,368000000.0,17.5485470764439
20,26.7,5.7,27.06,1.2,396000000.0,14.001269531456,296000000.0,103.847880893108,371000000.0,17.6955536901995
21,26.7,5.7,27.06,1.3,399000000.0,13.869957178612,299000000.0,111.641444852599,374000000.0,17.8211167970467
22,26.7,5.7,27.06,1.4,403000000.0,13.745750744544,303000000.0,112.648700740296,378000000.0,17.2789001920493
24,26.7,5.7,27.18,1.0,389000000.0,14.378168534467,289000000.0,96.33898917417,364000000.0,17.828511916864098
25,26.7,5.7,27.18,1.1,392000000.0,14.27148622965,292000000.0,101.441105804267,367000000.0,17.995579605487798
26,26.7,5.7,27.18,1.2,395000000.0,14.148163007655,295000000.0,108.334817895484,370000000.0,18.139577594341
27,26.7,5.7,27.18,1.3,399000000.0,14.02829402789,299000000.0,109.556160094986,374000000.0,17.6108268383614
28,26.7,5.7,27.18,1.4,402000000.0,13.904420904626,302000000.0,117.424420004246,377000000.0,17.7329209787801
30,26.7,5.7,27.3,1.0,388000000.0,14.536915884969,288000000.0,99.430483456139,363000000.0,18.2887652675425
31,26.7,5.7,27.3,1.1,391000000.0,14.422327736103,291000000.0,105.468233510006,366000000.0,18.4516495684312
32,26.7,5.7,27.3,1.2,395000000.0,14.30867227138,295000000.0,106.687188499542,370000000.0,17.9385450135928
33,26.7,5.7,27.3,1.3,398000000.0,14.193775655036,298000000.0,114.863122894166,373000000.0,18.0806309544318
34,26.7,5.7,27.3,1.4,401000000.0,14.064707781505,301000000.0,117.87023963045499,376000000.0,18.2003064212248
36,26.7,5.82,26.7,1.0,392000000.0,13.879783823282,292000000.0,89.874121996631,367000000.0,16.6043241896157
37,26.7,5.82,26.7,1.1,395000000.0,13.797782866113,295000000.0,93.674414258927,370000000.0,16.792570879563
38,26.7,5.82,26.7,1.2,398000000.0,13.693336062373,298000000.0,98.50259955037399,373000000.0,16.9527504221201
39,26.7,5.82,26.7,1.3,401000000.0,13.570437121563,301000000.0,104.821537108456,376000000.0,17.087996089411998
40,26.7,5.82,26.7,1.4,404000000.0,13.43255805652,304000000.0,110.946448511187,379000000.0,17.2010177229378
42,26.7,5.82,26.82,1.0,391000000.0,14.046875757995,291000000.0,92.154591983716,366000000.0,17.0362715094389
43,26.7,5.82,26.82,1.1,394000000.0,13.956520971072,294000000.0,96.37923446199599,369000000.0,17.2199792294062
44,26.7,5.82,26.82,1.2,397000000.0,13.845059746641,297000000.0,101.863400691367,372000000.0,17.3766461166955
45,26.7,5.82,26.82,1.3,400000000.0,13.71645597486,300000000.0,109.040633343225,375000000.0,17.5093725537951
46,26.7,5.82,26.82,1.4,403000000.0,13.574111268971,303000000.0,114.47902672279099,378000000.0,17.62079505234
48,26.7,5.82,26.94,1.0,390000000.0,14.213333008537,290000000.0,94.65695354632001,365000000.0,17.4797522971396
49,26.7,5.82,26.94,1.1,393000000.0,14.114473793182,293000000.0,99.426318546184,368000000.0,17.6587284853516
50,26.7,5.82,26.94,1.2,396000000.0,13.99591474433,296000000.0,105.773149859665,371000000.0,17.8117522976289
