,Val1,Val2,Val3,VTUNE12,fpeak,gain,fimg,img
0,1.7,26.7,5.7,1,392000000,14.005460594986,292000000,89.342113783548
1,1.7,26.7,5.7,1.1,395000000,13.901598040224,295000000,92.880757390041
2,1.7,26.7,5.7,1.2,399000000,13.812211244163,299000000,93.331378947518
3,1.7,26.7,5.7,1.3,402000000,13.705687533617,302000000,97.951315210087
4,1.7,26.7,5.7,1.4,405000000,13.58241527367,305000000,103.936870548163
6,1.7,26.7,5.82,1,391000000,14.159703105664,291000000,92.534682620123
7,1.7,26.7,5.82,1.1,394000000,14.046654701476,294000000,96.772685036571
8,1.7,26.7,5.82,1.2,398000000,13.95046997338,298000000,97.475957568861
9,1.7,26.7,5.82,1.3,401000000,13.838457861987,301000000,103.286672158343
10,1.7,26.7,5.82,1.4,404000000,13.709511298069,304000000,110.433928037591
12,1.7,26.7,5.94,1,390000000,14.310838352114,290000000,96.177455176661
13,1.7,26.7,5.94,1.1,393000000,14.187557439887,293000000,101.398239074102
14,1.7,26.7,5.94,1.2,397000000,14.088721199916,297000000,102.467090967216
15,1.7,26.7,5.94,1.3,400000000,13.970492108087,300000000,109.726027361631
16,1.7,26.7,5.94,1.4,403000000,13.835118937952,303000000,114.899384801942
18,1.7,26.7,6.06,1,389000000,14.458731202876,289000000,100.446722227646
19,1.7,26.7,6.06,1.1,393000000,14.33131055492,293000000,101.53743161422
20,1.7,26.7,6.06,1.2,396000000,14.227221568252,296000000,108.601156149457
21,1.7,26.7,6.06,1.3,399000000,14.101774529727,299000000,115.470632066377
22,1.7,26.7,6.06,1.4,402000000,13.958959875526,302000000,115.407405811566
24,1.7,26.7,6.18,1,388000000,14.602809111832,288000000,105.61831913489
25,1.7,26.7,6.18,1.1,392000000,14.477951916475,292000000,107.221033951007
26,1.7,26.7,6.18,1.2,395000000,14.365866392099,295000000,115.238850441759
27,1.7,26.7,6.18,1.3,398000000,14.23187214945,298000000,117.09499695392
28,1.7,26.7,6.18,1.4,401000000,14.080287786102,301000000,111.840100949495
30,1.7,26.7,6.3,1,387000000,14.741933042156,287000000,112.021782027373
31,1.7,26.7,6.3,1.1,391000000,14.625847846353,291000000,114.038029175466
32,1.7,26.7,6.3,1.2,394000000,14.504073012013,294000000,118.460166701583
33,1.7,26.7,6.3,1.3,397000000,14.359807880181,297000000,114.819695903761
34,1.7,26.7,6.3,1.4,400000000,14.19775430954,300000000,106.361404526342
36,1.7,26.82,5.7,1,391000000,14.155326168837,291000000,91.547745115716
37,1.7,26.82,5.7,1.1,395000000,14.061680503465,295000000,91.959253663958
38,1.7,26.82,5.7,1.2,398000000,13.968220485411,298000000,96.070525084426
39,1.7,26.82,5.7,1.3,401000000,13.855921699886,301000000,101.340897110175
40,1.7,26.82,5.7,1.4,404000000,13.727985108746,304000000,108.241013810927
42,1.7,26.82,5.82,1,390000000,14.310612323209,290000000,95.013139421063
43,1.7,26.82,5.82,1.1,394000000,14.207764921475,294000000,95.637420015913
44,1.7,26.82,5.82,1.2,397000000,14.108697819687,297000000,100.699508938248
45,1.7,26.82,5.82,1.3,400000000,13.990457469795,300000000,107.424398309104
46,1.7,26.82,5.82,1.4,403000000,13.856458457304,303000000,115.011512992464
48,1.7,26.82,5.94,1,389000000,14.462364897826,289000000,99.026291013521
49,1.7,26.82,5.94,1.1,393000000,14.354528648143,293000000,99.95720306083
50,1.7,26.82,5.94,1.2,396000000,14.249113765013,296000000,106.381596358347
51,1.7,26.82,5.94,1.3,399000000,14.124141646453,299000000,114.514030044763
52,1.7,26.82,5.94,1.4,402000000,13.983273180091,302000000,117.581548129011
54,1.7,26.82,6.06,1,388000000,14.610228287018,288000000,103.819740211686
55,1.7,26.82,6.06,1.1,392000000,14.502391470358,292000000,105.200084087784
56,1.7,26.82,6.06,1.2,395000000,14.389586632882,295000000,113.35291533742
57,1.7,26.82,6.06,1.3,398000000,14.256796720254,298000000,119.031065236014
58,1.7,26.82,6.06,1.4,401000000,14.107968319824,301000000,113.816020860622
60,1.7,26.82,6.18,1,387000000,14.753336013805,287000000,109.750327514269
61,1.7,26.82,6.18,1.1,391000000,14.651416433178,291000000,111.732545552627
62,1.7,26.82,6.18,1.2,394000000,14.52981149446,294000000,119.65764390344
63,1.7,26.82,6.18,1.3,397000000,14.387760387539,297000000,116.932786947959
64,1.7,26.82,6.18,1.4,400000000,14.229542876051,300000000,107.913186957722
66,1.7,26.82,6.3,1,387000000,14.907266181459,287000000,109.900489516812
67,1.7,26.82,6.3,1.1,390000000,14.801185838542,290000000,119.056217355302
68,1.7,26.82,6.3,1.2,393000000,14.668922368505,293000000,119.985091206635
69,1.7,26.82,6.3,1.3,396000000,14.515737601987,296000000,110.971988088203
70,1.7,26.82,6.3,1.4,399000000,14.346301305444,299000000,103.037179957227
72,1.7,26.94,5.7,1,391000000,14.304441501671,291000000,90.797655210239
73,1.7,26.94,5.7,1.1,394000000,14.225241797234,294000000,94.512829749666
74,1.7,26.94,5.7,1.2,397000000,14.124763235994,297000000,99.180590074736
75,1.7,26.94,5.7,1.3,400000000,14.006646603831,300000000,105.320780411105
76,1.7,26.94,5.7,1.4,403000000,13.874031226918,303000000,113.25348576808
78,1.7,26.94,5.82,1,390000000,14.459101413933,290000000,94.115046019475
79,1.7,26.94,5.82,1.1,393000000,14.374225368086,293000000,98.588483103767
80,1.7,26.94,5.82,1.2,396000000,14.267575302872,296000000,104.453948426934
81,1.7,26.94,5.82,1.3,399000000,14.143023741447,299000000,112.332472925296
82,1.7,26.94,5.82,1.4,402000000,14.003923560967,302000000,118.811589768047
84,1.7,26.94,5.94,1,389000000,14.615115448565,289000000,97.926386814655
85,1.7,26.94,5.94,1.1,392000000,14.523821441295,292000000,103.473563742655
86,1.7,26.94,5.94,1.2,395000000,14.410177465388,295000000,111.045494253221
87,1.7,26.94,5.94,1.3,398000000,14.278326266519,298000000,119.328113560169
88,1.7,26.94,5.94,1.4,401000000,14.13186843484,301000000,116.00998833108
90,1.7,26.94,6.06,1,388000000,14.773082289588,288000000,102.429803467022
91,1.7,26.94,6.06,1.1,391000000,14.67429778958,291000000,109.539580537452
92,1.7,26.94,6.06,1.2,394000000,14.552506501032,294000000,118.702042607492
93,1.7,26.94,6.06,1.3,397000000,14.412168649219,297000000,119.139088478559
94,1.7,26.94,6.06,1.4,400000000,14.257173575034,300000000,109.718777662817
96,1.7,26.94,6.18,1,387000000,14.933252782033,287000000,107.942140275999
97,1.7,26.94,6.18,1.1,390000000,14.825496198408,290000000,117.079241284978
98,1.7,26.94,6.18,1.2,393000000,14.693999387807,293000000,121.963674618617
99,1.7,26.94,6.18,1.3,396000000,14.543598256105,296000000,112.910316773625
100,1.7,26.94,6.18,1.4,399000000,14.378520012139,299000000,104.456563273418
102,1.7,26.94,6.3,1,386000000,15.095399304396,286000000,114.900108694134
103,1.7,26.94,6.3,1.1,389000000,14.976683729883,289000000,123.484192445533
104,1.7,26.94,6.3,1.2,392000000,14.833430708569,292000000,116.648303739549
105,1.7,26.94,6.3,1.3,395000000,14.670923332418,295000000,107.178768674315
106,1.7,26.94,6.3,1.4,398000000,14.493784793535,298000000,100.405011416732
108,1.7,27.06,5.7,1,390000000,14.476750511403,290000000,93.192962714664
109,1.7,27.06,5.7,1.1,393000000,14.389193352734,293000000,97.384169906634
110,1.7,27.06,5.7,1.2,396000000,14.281639890575,296000000,102.802671875574
111,1.7,27.06,5.7,1.3,399000000,14.157692088991,299000000,110.091552292994
112,1.7,27.06,5.7,1.4,402000000,14.020414417749,302000000,117.965493672999
114,1.7,27.06,5.82,1,389000000,14.635092914731,289000000,96.839338488555
115,1.7,27.06,5.82,1.1,392000000,14.541166027438,292000000,101.988122143733
116,1.7,27.06,5.82,1.2,395000000,14.426822990937,295000000,108.947763306207
117,1.7,27.06,5.82,1.3,398000000,14.29590079697,298000000,117.66314902332
118,1.7,27.06,5.82,1.4,401000000,14.151677154438,301000000,117.929485721358
120,1.7,27.06,5.94,1,388000000,14.794715680158,288000000,101.106713229365
121,1.7,27.06,5.94,1.1,391000000,14.693571878126,291000000,107.645151191895
122,1.7,27.06,5.94,1.2,394000000,14.571518417325,294000000,116.511726419645
123,1.7,27.06,5.94,1.3,397000000,14.43266811918,297000000,120.56025909986
124,1.7,27.06,5.94,1.4,400000000,14.280547555927,300000000,111.794267060124
126,1.7,27.06,6.06,1,387000000,14.956051651105,287000000,106.270509128905
127,1.7,27.06,6.06,1.1,390000000,14.846475890954,290000000,114.770415006105
128,1.7,27.06,6.06,1.2,393000000,14.715426736107,293000000,122.350633368767
129,1.7,27.06,6.06,1.3,396000000,14.567342769183,296000000,115.091597420103
130,1.7,27.06,6.06,1.4,399000000,14.406041972903,299000000,106.099831525211
132,1.7,27.06,6.18,1,386000000,15.119108646724,286000000,112.752381626458
133,1.7,27.06,6.18,1.1,389000000,14.999430397775,289000000,122.435499590585
134,1.7,27.06,6.18,1.2,392000000,14.857654622727,292000000,118.870760025867
135,1.7,27.06,6.18,1.3,395000000,14.698606763375,295000000,108.938273100413
136,1.7,27.06,6.18,1.4,398000000,14.526446621321,298000000,101.706590911866
138,1.7,27.06,6.3,1,385000000,15.28330996012,285000000,120.73262586462
139,1.7,27.06,6.3,1.1,388000000,15.151297140514,288000000,122.835081247024
140,1.7,27.06,6.3,1.2,391000000,14.996523860483,291000000,112.289617258783
141,1.7,27.06,6.3,1.3,394000000,14.824276669227,294000000,104.157339994224
142,1.7,27.06,6.3,1.4,397000000,14.639115834479,297000000,98.282567080276
144,1.7,27.18,5.7,1,389000000,14.649183520118,289000000,95.859477478508
145,1.7,27.18,5.7,1.1,392000000,14.553180663775,292000000,100.690642867786
146,1.7,27.18,5.7,1.2,395000000,14.438525539675,295000000,107.143418720533
147,1.7,27.18,5.7,1.3,398000000,14.308765080705,298000000,115.379257584545
148,1.7,27.18,5.7,1.4,401000000,14.166875500442,301000000,118.305728835622
150,1.7,27.18,5.82,1,388000000,14.811263402219,288000000,99.938814149955
151,1.7,27.18,5.82,1.1,391000000,14.70812625262,291000000,106.022303255499
152,1.7,27.18,5.82,1.2,394000000,14.586001950611,294000000,114.263815864166
153,1.7,27.18,5.82,1.3,397000000,14.448675355076,297000000,119.949896907546
154,1.7,27.18,5.82,1.4,400000000,14.299335274326,300000000,113.959347750917
156,1.7,27.18,5.94,1,387000000,14.974416585622,287000000,104.829008437492
157,1.7,27.18,5.94,1.1,390000000,14.863170748019,290000000,112.693187045231
158,1.7,27.18,5.94,1.2,393000000,14.732539165891,293000000,120.732418680721
159,1.7,27.18,5.94,1.3,396000000,14.586587696048,296000000,117.121579420028
160,1.7,27.18,5.94,1.4,399000000,14.428754717585,299000000,108.008523778197
162,1.7,27.18,6.06,1,386000000,15.138850352953,286000000,110.907064292188
163,1.7,27.18,6.06,1.1,389000000,15.01811162847,289000000,120.21571581302
164,1.7,27.18,6.06,1.2,392000000,14.87753297757,292000000,120.39963330954
165,1.7,27.18,6.06,1.3,395000000,14.721513664316,295000000,110.972761972885
166,1.7,27.18,6.06,1.4,398000000,14.553785411023,298000000,103.201805721523
168,1.7,27.18,6.18,1,385000000,15.304248988742,285000000,118.433786746812
169,1.7,27.18,6.18,1.1,388000000,15.172126130239,288000000,123.198888631699
170,1.7,27.18,6.18,1.2,391000000,15.019670688684,291000000,114.459374833104
171,1.7,27.18,6.18,1.3,394000000,14.851678829537,294000000,105.74979509984
172,1.7,27.18,6.18,1.4,397000000,14.672226710052,297000000,99.479752364508
174,1.7,27.18,6.3,1,384000000,15.469579842754,284000000,124.615445294264
175,1.7,27.18,6.3,1.1,387000000,15.323559687198,287000000,118.505319073568
176,1.7,27.18,6.3,1.2,390000000,15.156708620636,290000000,108.720420945689
177,1.7,27.18,6.3,1.3,393000000,14.974295619384,293000000,101.731675755563
178,1.7,27.18,6.3,1.4,397000000,14.814974819512,297000000,99.62255736187
180,1.7,27.3,5.7,1,388000000,14.821188699979,288000000,98.8922080101
181,1.7,27.3,5.7,1.1,391000000,14.716680870908,291000000,104.615212894339
182,1.7,27.3,5.7,1.2,394000000,14.59492955867,294000000,112.287408014605
183,1.7,27.3,5.7,1.3,397000000,14.459409967373,297000000,117.889410537773
184,1.7,27.3,5.7,1.4,400000000,14.312996616727,300000000,115.384722822937
186,1.7,27.3,5.82,1,387000000,14.986921663284,287000000,103.566126687354
187,1.7,27.3,5.82,1.1,390000000,14.87443348313,290000000,110.909472133884
188,1.7,27.3,5.82,1.2,393000000,14.74446368822,293000000,118.44518934745
189,1.7,27.3,5.82,1.3,396000000,14.600727729237,296000000,117.803256289067
190,1.7,27.3,5.82,1.4,399000000,14.446311610316,299000000,110.15110166871
192,1.7,27.3,5.94,1,386000000,15.153335574628,286000000,109.324847060071
193,1.7,27.3,5.94,1.1,389000000,15.031741187998,289000000,117.971098305848
194,1.7,27.3,5.94,1.2,392000000,14.892376889131,292000000,119.935807044241
195,1.7,27.3,5.94,1.3,395000000,14.739243527686,295000000,113.16339240858
196,1.7,27.3,5.94,1.4,398000000,14.575676685765,298000000,104.93670528813
198,1.7,27.3,6.06,1,385000000,15.320335426927,285000000,116.393680556857
199,1.7,27.3,6.06,1.1,388000000,15.188052413473,288000000,121.560042182043
200,1.7,27.3,6.06,1.2,391000000,15.037675234417,291000000,116.555185757627
201,1.7,27.3,6.06,1.3,394000000,14.873544586602,294000000,107.601397553878
202,1.7,27.3,6.06,1.4,397000000,14.699290136057,297000000,100.842844002266
204,1.7,27.3,6.18,1,384000000,15.487180175548,284000000,122.353247731048
205,1.7,27.3,6.18,1.1,387000000,15.342063340429,287000000,120.072656795809
206,1.7,27.3,6.18,1.2,390000000,15.178518553751,290000000,110.720906597565
207,1.7,27.3,6.18,1.3,393000000,15.001291341732,293000000,103.17435979564
208,1.7,27.3,6.18,1.4,397000000,14.847121809101,297000000,100.990300032028
210,1.7,27.3,6.3,1,383000000,15.65224890813,283000000,123.10460163412
211,1.7,27.3,6.3,1.1,386000000,15.491469119785,286000000,114.385845145977
212,1.7,27.3,6.3,1.2,389000000,15.3119648721,289000000,105.85843118326
