,Val1,Val2,Val3,VTUNE12,fpeak,gain,fimg,img
0,1.7,26.7,5.7,2.2,429000000,12.224682099418,329000000,85.050030067077
1,1.7,26.7,5.7,2.3,432000000,12.019224789369,332000000,82.278991808869
2,1.7,26.7,5.7,2.4,435000000,11.80485393914,335000000,79.843853829727
3,1.7,26.7,5.7,2.5,438000000,11.580510319364,338000000,77.667387618957
4,1.7,26.7,5.7,2.6,441000000,11.344949899906,341000000,75.695118322003
6,1.7,26.7,5.82,2.2,428000000,12.318050246398,328000000,83.010564194052
7,1.7,26.7,5.82,2.3,431000000,12.111221500159,331000000,80.511514134781
8,1.7,26.7,5.82,2.4,434000000,11.896250809732,334000000,78.285095584327
9,1.7,26.7,5.82,2.5,437000000,11.672078412763,337000000,76.273256024354
10,1.7,26.7,5.82,2.6,440000000,11.437444243826,340000000,74.433819770241
12,1.7,26.7,5.94,2.2,428000000,12.413141369127,328000000,83.108589401505
13,1.7,26.7,5.94,2.3,431000000,12.202527014095,331000000,80.606394047069
14,1.7,26.7,5.94,2.4,434000000,11.98155226378,334000000,78.374584338784
15,1.7,26.7,5.94,2.5,436000000,11.757255748201,336000000,75.046527840693
16,1.7,26.7,5.94,2.6,439000000,11.523583506193,339000000,73.316610671836
18,1.7,26.7,6.06,2.2,427000000,12.515825011752,327000000,81.385317645054
19,1.7,26.7,6.06,2.3,430000000,12.303923484118,330000000,79.095834482577
20,1.7,26.7,6.06,2.4,433000000,12.082332952325,333000000,77.030611401726
21,1.7,26.7,6.06,2.5,436000000,11.850292196259,336000000,75.145030247404
22,1.7,26.7,6.06,2.6,439000000,11.606801763785,339000000,73.405850610625
24,1.7,26.7,6.18,2.2,426000000,12.616223559944,326000000,79.901392363883
25,1.7,26.7,6.18,2.3,429000000,12.402644738322,329000000,77.78156305866
26,1.7,26.7,6.18,2.4,432000000,12.180149866103,332000000,75.851605149782
27,1.7,26.7,6.18,2.5,435000000,11.947995239107,335000000,74.076178377192
28,1.7,26.7,6.18,2.6,438000000,11.705180468364,338000000,72.42832283383
30,1.7,26.7,6.3,2.2,425000000,12.712531196134,325000000,78.608415563773
31,1.7,26.7,6.3,2.3,428000000,12.496783136566,328000000,76.626252106724
32,1.7,26.7,6.3,2.4,431000000,12.273022181896,331000000,74.807769540542
33,1.7,26.7,6.3,2.5,434000000,12.040520036673,334000000,73.124357910214
34,1.7,26.7,6.3,2.6,437000000,11.798271366135,337000000,71.553718881464
36,1.7,26.82,5.7,2.2,428000000,12.36235468582,328000000,83.747469770754
37,1.7,26.82,5.7,2.3,431000000,12.158271484674,331000000,81.182514574753
38,1.7,26.82,5.7,2.4,434000000,11.945561070002,334000000,78.904129678942
39,1.7,26.82,5.7,2.5,437000000,11.723109718707,337000000,76.850255101853
40,1.7,26.82,5.7,2.6,440000000,11.489621115278,340000000,74.976043579602
42,1.7,26.82,5.82,2.2,427000000,12.455862650735,327000000,81.931157403335
43,1.7,26.82,5.82,2.3,430000000,12.250412108961,330000000,79.59243623447
44,1.7,26.82,5.82,2.4,433000000,12.037124596743,333000000,77.490688627736
45,1.7,26.82,5.82,2.5,436000000,11.814881416597,336000000,75.578147310883
46,1.7,26.82,5.82,2.6,439000000,11.582366612899,339000000,73.819346828377
48,1.7,26.82,5.94,2.2,427000000,12.552078691154,327000000,82.030533881293
49,1.7,26.82,5.94,2.3,430000000,12.341232397169,330000000,79.687051458872
50,1.7,26.82,5.94,2.4,432000000,12.122107752062,332000000,76.248282534468
51,1.7,26.82,5.94,2.5,435000000,11.900064901065,335000000,74.452053520228
52,1.7,26.82,5.94,2.6,438000000,11.668607227122,338000000,72.789560976253
54,1.7,26.82,6.06,2.2,426000000,12.656438175058,326000000,80.483048373996
55,1.7,26.82,6.06,2.3,429000000,12.444269975984,329000000,78.319650834459
56,1.7,26.82,6.06,2.4,432000000,12.222734784376,332000000,76.354005919841
57,1.7,26.82,6.06,2.5,435000000,11.991012929456,335000000,74.548674131301
58,1.7,26.82,6.06,2.6,438000000,11.748051899454,338000000,72.87522866684
60,1.7,26.82,6.18,2.2,425000000,12.758379802842,325000000,79.139869266159
61,1.7,26.82,6.18,2.3,428000000,12.54451960938,328000000,77.122254275574
62,1.7,26.82,6.18,2.4,431000000,12.322093290936,331000000,75.274309136608
63,1.7,26.82,6.18,2.5,434000000,12.090291976678,334000000,73.565841158962
64,1.7,26.82,6.18,2.6,437000000,11.848055661946,337000000,71.973425621278
66,1.7,26.82,6.3,2.2,424000000,12.855809790348,324000000,77.961623902781
67,1.7,26.82,6.3,2.3,427000000,12.639785804149,327000000,76.063768819459
68,1.7,26.82,6.3,2.4,430000000,12.41614062481,330000000,74.313873374937
69,1.7,26.82,6.3,2.5,433000000,12.184072981242,333000000,72.687110482228
70,1.7,26.82,6.3,2.6,436000000,11.942509855001,336000000,71.163833449369
