,Val1,Val2,Val3,VTUNE12,fpeak,gain,fimg,img
0,1.7,26.7,5.7,3.2,458000000,9.6338551567751,358000000,65.5448302052741
1,1.7,26.7,5.7,3.3,461000000,9.3084042957154,361000000,64.3377054387924
2,1.7,26.7,5.7,3.4,464000000,8.9667219117105,364000000,63.1771601728435
3,1.7,26.7,5.7,3.5,467000000,8.6117957476329,367000000,62.0607788635059
4,1.7,26.7,5.7,3.6,470000000,8.2489139761352,370000000,60.9892518556832
6,1.7,26.7,5.82,3.2,458000000,9.7298534042952,358000000,65.6490090137242
7,1.7,26.7,5.82,3.3,460000000,9.4051571747723,360000000,63.6289063008213
8,1.7,26.7,5.82,3.4,463000000,9.067430800544,363000000,62.501262069637
9,1.7,26.7,5.82,3.5,466000000,8.7150495360806,366000000,61.4124077750486
10,1.7,26.7,5.82,3.6,469000000,8.3524167683375,369000000,60.3626876636825
12,1.7,26.7,5.94,3.2,457000000,9.8355378543448,357000000,64.9162406240498
13,1.7,26.7,5.94,3.3,460000000,9.4946249652327,360000000,63.7276152356347
14,1.7,26.7,5.94,3.4,462000000,9.1603383305943,362000000,61.8824361264193
15,1.7,26.7,5.94,3.5,465000000,8.8119612902453,365000000,60.8192800778873
16,1.7,26.7,5.94,3.6,468000000,8.4513874636279,368000000,59.7903387917499
18,1.7,26.7,6.06,3.2,456000000,9.9353345986273,356000000,64.2507512008633
19,1.7,26.7,6.06,3.3,459000000,9.5992934456461,359000000,63.0960853714041
20,1.7,26.7,6.06,3.4,462000000,9.2450669062192,362000000,61.9774246556752
21,1.7,26.7,6.06,3.5,464000000,8.9000720084346,364000000,60.2725628075906
22,1.7,26.7,6.06,3.6,467000000,8.5433704462444,367000000,59.2638123465334
24,1.7,26.7,6.18,3.2,455000000,10.026985113847,355000000,63.642027042042
25,1.7,26.7,6.18,3.3,458000000,9.6967172050455,358000000,62.5184853234405
26,1.7,26.7,6.18,3.4,461000000,9.3479809960291,361000000,61.4272217028981
27,1.7,26.7,6.18,3.5,464000000,8.9817784698749,364000000,60.3655074084699
28,1.7,26.7,6.18,3.6,466000000,8.625311236887,366000000,58.774983537662
30,1.7,26.7,6.3,3.2,454000000,10.107487857854,354000000,63.080139802306
31,1.7,26.7,6.3,3.3,457000000,9.7839908683925,357000000,61.9855744323925
32,1.7,26.7,6.3,3.4,460000000,9.4419316472764,360000000,60.9201805963714
33,1.7,26.7,6.3,3.5,463000000,9.0818151808658,363000000,59.8811216291008
34,1.7,26.7,6.3,3.6,466000000,8.7056302009375,366000000,58.8674793580985
36,1.7,26.82,5.7,3.2,457000000,9.8022345420322,357000000,65.2121510835422
37,1.7,26.82,5.7,3.3,460000000,9.478864451837,360000000,64.030340609284
38,1.7,26.82,5.7,3.4,463000000,9.1378364972305,363000000,62.8903865696145
39,1.7,26.82,5.7,3.5,466000000,8.7814291542896,366000000,61.7896598127416
40,1.7,26.82,5.7,3.6,469000000,8.4139982157191,369000000,60.7283202525321
42,1.7,26.82,5.82,3.2,456000000,9.8941982308728,356000000,64.5131026173768
43,1.7,26.82,5.82,3.3,459000000,9.575999689823,359000000,63.366792878109
44,1.7,26.82,5.82,3.4,462000000,9.2395798067109,362000000,62.2576221321449
45,1.7,26.82,5.82,3.5,465000000,8.8865973575964,365000000,61.1829195293564
46,1.7,26.82,5.82,3.6,468000000,8.5205961009627,368000000,60.1425052818937
48,1.7,26.82,5.94,3.2,456000000,9.9940126484437,356000000,64.6219406821457
49,1.7,26.82,5.94,3.3,458000000,9.6638784341285,358000000,62.7576647061805
50,1.7,26.82,5.94,3.4,461000000,9.3332692268366,361000000,61.6771026862666
51,1.7,26.82,5.94,3.5,464000000,8.9851687325851,364000000,60.6269697400781
52,1.7,26.82,5.94,3.6,467000000,8.6223749273058,367000000,59.6067376865348
54,1.7,26.82,6.06,3.2,455000000,10.094859647673,355000000,64.000042551709
55,1.7,26.82,6.06,3.3,458000000,9.7601731262992,358000000,62.8640191143322
56,1.7,26.82,6.06,3.4,460000000,9.4162228183292,360000000,61.1399732537362
57,1.7,26.82,6.06,3.5,463000000,9.0745205656503,363000000,60.1134588250013
58,1.7,26.82,6.06,3.6,466000000,8.7167500726811,366000000,59.1130798172191
60,1.7,26.82,6.18,3.2,454000000,10.187348564582,354000000,63.430052548086
61,1.7,26.82,6.18,3.3,457000000,9.8588819916512,357000000,62.3233312302982
62,1.7,26.82,6.18,3.4,460000000,9.5110181117799,360000000,61.2458230612959
