,Val1,Val2,Val3,VTUNE12,fpeak,gain,fimg,img
0,5.7,26.7,1.7,3.2,461000000,9.5037838060821,361000000,69.7181175536701
1,5.7,26.7,1.7,3.3,464000000,9.132814582647,364000000,68.336390724459
2,5.7,26.7,1.7,3.4,466000000,8.778935708812,366000000,66.012010012504
3,5.7,26.7,1.7,3.5,469000000,8.418928832002,369000000,64.837640983147
4,5.7,26.7,1.7,3.6,472000000,8.0586579044412,372000000,63.7247621137072
6,5.7,26.7,1.82,3.2,460000000,9.5081830191175,360000000,68.0010307083155
7,5.7,26.7,1.82,3.3,463000000,9.1493332107024,363000000,66.6855348008914
8,5.7,26.7,1.82,3.4,465000000,8.7924907451162,365000000,64.4995398547422
9,5.7,26.7,1.82,3.5,468000000,8.4372307377145,368000000,63.3637800012005
10,5.7,26.7,1.82,3.6,471000000,8.0781863056372,371000000,62.2813264142912
12,5.7,26.7,1.94,3.2,459000000,9.4774456263005,359000000,66.3982594244655
13,5.7,26.7,1.94,3.3,462000000,9.1309418597316,362000000,65.1409168105016
14,5.7,26.7,1.94,3.4,464000000,8.7742957541215,364000000,63.0774646698635
15,5.7,26.7,1.94,3.5,467000000,8.4249449577745,367000000,61.9766802321845
16,5.7,26.7,1.94,3.6,470000000,8.068527423072,370000000,60.921951655472
18,5.7,26.7,2.06,3.2,458000000,9.4183796017489,358000000,64.8970532349749
19,5.7,26.7,2.06,3.3,461000000,9.0843566999941,361000000,63.6913120071881
20,5.7,26.7,2.06,3.4,464000000,8.7333111687139,364000000,62.5317335475399
21,5.7,26.7,2.06,3.5,466000000,8.3881619851076,366000000,60.6687879992566
22,5.7,26.7,2.06,3.6,469000000,8.0356657167334,369000000,59.6396696505954
24,5.7,26.7,2.18,3.2,457000000,9.3365263520579,357000000,63.4870145087919
25,5.7,26.7,2.18,3.3,460000000,9.0150388110065,360000000,62.3274722087435
26,5.7,26.7,2.18,3.4,463000000,8.6752032420334,363000000,61.2081501437714
27,5.7,26.7,2.18,3.5,465000000,8.3317553406175,365000000,59.4335997536455
28,5.7,26.7,2.18,3.6,468000000,7.9843543468141,368000000,58.4284026412561
30,5.7,26.7,2.3,3.2,456000000,9.2364112541684,356000000,62.1595120139854
31,5.7,26.7,2.3,3.3,459000000,8.9274431601174,359000000,61.0416460336984
32,5.7,26.7,2.3,3.4,462000000,8.5990303558596,362000000,59.9589401274966
33,5.7,26.7,2.3,3.5,464000000,8.2596425819897,364000000,58.2654476495307
34,5.7,26.7,2.3,3.6,467000000,7.9183822890526,367000000,57.2827911376886
36,5.7,26.82,1.7,3.2,460000000,9.6722305558918,360000000,69.1865204360968
37,5.7,26.82,1.7,3.3,462000000,9.3111153247115,362000000,66.8316843126175
38,5.7,26.82,1.7,3.4,465000000,8.9569781644783,365000000,65.6225227006063
39,5.7,26.82,1.7,3.5,468000000,8.5925826955432,368000000,64.4671013531852
40,5.7,26.82,1.7,3.6,471000000,8.2239282297099,371000000,63.3659084430519
42,5.7,26.82,1.82,3.2,459000000,9.6755122972941,359000000,67.5426279782051
43,5.7,26.82,1.82,3.3,461000000,9.3167158080909,361000000,65.3310587162619
44,5.7,26.82,1.82,3.4,464000000,8.9714445299659,364000000,64.1659964125589
45,5.7,26.82,1.82,3.5,467000000,8.6135373766806,367000000,63.0474409565536
46,5.7,26.82,1.82,3.6,470000000,8.2482567102122,370000000,61.9758367430262
48,5.7,26.82,1.94,3.2,458000000,9.6435389124805,358000000,66.0025937966655
49,5.7,26.82,1.94,3.3,461000000,9.2975363936169,361000000,64.7727153211979
50,5.7,26.82,1.94,3.4,463000000,8.9537687860252,363000000,62.7928036646182
51,5.7,26.82,1.94,3.5,466000000,8.6033311370964,366000000,61.7079065368664
52,5.7,26.82,1.94,3.6,469000000,8.2426380596564,369000000,60.6635087023764
54,5.7,26.82,2.06,3.2,457000000,9.5831757811169,357000000,64.5557518971389
55,5.7,26.82,2.06,3.3,460000000,9.2506857149734,360000000,63.3745498567414
56,5.7,26.82,2.06,3.4,462000000,8.910269483789,362000000,61.49594993223
57,5.7,26.82,2.06,3.5,465000000,8.5681350546884,365000000,60.4420547481224
