,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
0,26.7,5.7,26.7,1,393000000,13.725012778033,293000000,86.8970824965
1,26.7,5.7,26.7,1.1,396000000,13.649679319198,296000000,90.11314063645
2,26.7,5.7,26.7,1.2,399000000,13.552315028857,299000000,94.048570885793
3,26.7,5.7,26.7,1.3,402000000,13.43667154507,302000000,99.068469109406
4,26.7,5.7,26.7,1.4,405000000,13.306003064097,305000000,105.469106963471
6,26.7,5.7,26.82,1,392000000,13.889762266089,292000000,88.953416745766
7,26.7,5.7,26.82,1.1,395000000,13.806707908088,295000000,92.482060530982
8,26.7,5.7,26.82,1.2,398000000,13.702879035325,298000000,96.880956526197
9,26.7,5.7,26.82,1.3,401000000,13.581998206945,301000000,102.602080750414
10,26.7,5.7,26.82,1.4,404000000,13.447253156294,304000000,109.713192308829
12,26.7,5.7,26.94,1,391000000,14.053871496198,291000000,91.180266756338
13,26.7,5.7,26.94,1.1,394000000,13.962995295854,294000000,95.10081666042
14,26.7,5.7,26.94,1.2,397000000,13.852660563396,297000000,100.099464596747
15,26.7,5.7,26.94,1.3,400000000,13.726544438118,300000000,106.734242007234
16,26.7,5.7,26.94,1.4,404000000,13.588790948096,304000000,107.604752570963
18,26.7,5.7,27.06,1,390000000,14.216880023006,290000000,93.621046813064
19,26.7,5.7,27.06,1.1,393000000,14.118115386264,293000000,98.047267594498
20,26.7,5.7,27.06,1.2,396000000,14.001269531456,296000000,103.847880893108
21,26.7,5.7,27.06,1.3,399000000,13.869957178612,299000000,111.641444852599
22,26.7,5.7,27.06,1.4,403000000,13.745750744544,303000000,112.648700740296
24,26.7,5.7,27.18,1,389000000,14.378168534467,289000000,96.33898917417
25,26.7,5.7,27.18,1.1,392000000,14.27148622965,292000000,101.441105804267
26,26.7,5.7,27.18,1.2,395000000,14.148163007655,295000000,108.334817895484
27,26.7,5.7,27.18,1.3,399000000,14.02829402789,299000000,109.556160094986
28,26.7,5.7,27.18,1.4,402000000,13.904420904626,302000000,117.424420004246
30,26.7,5.7,27.3,1,388000000,14.536915884969,288000000,99.430483456139
31,26.7,5.7,27.3,1.1,391000000,14.422327736103,291000000,105.468233510006
32,26.7,5.7,27.3,1.2,395000000,14.30867227138,295000000,106.687188499542
33,26.7,5.7,27.3,1.3,398000000,14.193775655036,298000000,114.863122894166
34,26.7,5.7,27.3,1.4,401000000,14.064707781505,301000000,117.870239630455
36,26.7,5.82,26.7,1,392000000,13.879783823282,292000000,89.874121996631
37,26.7,5.82,26.7,1.1,395000000,13.797782866113,295000000,93.674414258927
38,26.7,5.82,26.7,1.2,398000000,13.693336062373,298000000,98.502599550374
39,26.7,5.82,26.7,1.3,401000000,13.570437121563,301000000,104.821537108456
40,26.7,5.82,26.7,1.4,404000000,13.43255805652,304000000,110.946448511187
42,26.7,5.82,26.82,1,391000000,14.046875757995,291000000,92.154591983716
43,26.7,5.82,26.82,1.1,394000000,13.956520971072,294000000,96.379234461996
44,26.7,5.82,26.82,1.2,397000000,13.845059746641,297000000,101.863400691367
45,26.7,5.82,26.82,1.3,400000000,13.71645597486,300000000,109.040633343225
46,26.7,5.82,26.82,1.4,403000000,13.574111268971,303000000,114.479026722791
48,26.7,5.82,26.94,1,390000000,14.213333008537,290000000,94.65695354632
49,26.7,5.82,26.94,1.1,393000000,14.114473793182,293000000,99.426318546184
50,26.7,5.82,26.94,1.2,396000000,13.99591474433,296000000,105.773149859665
51,26.7,5.82,26.94,1.3,399000000,13.861572838149,299000000,113.861241934299
52,26.7,5.82,26.94,1.4,403000000,13.72173947771,303000000,114.50404808025
54,26.7,5.82,27.06,1,389000000,14.378592558548,289000000,97.446112695215
55,26.7,5.82,27.06,1.1,392000000,14.271106223453,292000000,102.938441939812
56,26.7,5.82,27.06,1.2,395000000,14.145396811351,295000000,110.432851972418
57,26.7,5.82,27.06,1.3,398000000,14.005316507395,298000000,118.736625757825
58,26.7,5.82,27.06,1.4,402000000,13.881301296929,302000000,118.435024580289
60,26.7,5.82,27.18,1,388000000,14.541894485876,288000000,100.620585511789
61,26.7,5.82,27.18,1.1,391000000,14.425689147819,291000000,107.104887700632
62,26.7,5.82,27.18,1.2,394000000,14.29281074492,294000000,115.89716851395
63,26.7,5.82,27.18,1.3,398000000,14.17194312307,298000000,117.13969592669
64,26.7,5.82,27.18,1.4,401000000,14.042708064448,301000000,117.664412741408
66,26.7,5.82,27.3,1,387000000,14.702229441067,287000000,104.335588709023
67,26.7,5.82,27.3,1.1,390000000,14.577248019115,290000000,112.146948515847
68,26.7,5.82,27.3,1.2,394000000,14.461386512142,294000000,113.808343385109
69,26.7,5.82,27.3,1.3,397000000,14.34067661138,297000000,119.48858518524
70,26.7,5.82,27.3,1.4,400000000,14.205769182795,300000000,113.754505965751
72,26.7,5.94,26.7,1,391000000,14.033952007054,291000000,93.233161435564
73,26.7,5.94,26.7,1.1,394000000,13.944488455065,294000000,97.839099817317
74,26.7,5.94,26.7,1.2,397000000,13.832107725843,297000000,103.920804544159
75,26.7,5.94,26.7,1.3,400000000,13.701080915463,300000000,110.968358163986
76,26.7,5.94,26.7,1.4,403000000,13.555127737312,303000000,112.741098163023
78,26.7,5.94,26.82,1,390000000,14.203248377246,290000000,95.810156148927
79,26.7,5.94,26.82,1.1,393000000,14.104717368168,293000000,101.012797892003
80,26.7,5.94,26.82,1.2,396000000,13.984699429341,296000000,107.989631812778
81,26.7,5.94,26.82,1.3,399000000,13.847436150496,299000000,114.957877775456
82,26.7,5.94,26.82,1.4,402000000,13.696573348624,302000000,115.080470370864
