,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
0,26.7,5.7,26.7,2.2,430000000.0,11.988496545618,330000000.0,86.461735641179,405000000.0,16.2815286791444
1,26.7,5.7,26.7,2.3,433000000.0,11.780690499066,333000000.0,83.419275684122,408000000.0,16.227753990083702
2,26.7,5.7,26.7,2.4,436000000.0,11.562013553678,336000000.0,80.782067639253,411000000.0,16.1533885627946
3,26.7,5.7,26.7,2.5,439000000.0,11.331538373057,339000000.0,78.45022270831,414000000.0,16.0576850950806
4,26.7,5.7,26.7,2.6,442000000.0,11.088156122786,342000000.0,76.355163846934,417000000.0,15.9398320274539
6,26.7,5.7,26.82,2.2,429000000.0,12.128170578901,329000000.0,84.892067243252,404000000.0,16.690646038267403
7,26.7,5.7,26.82,2.3,432000000.0,11.920876536345,332000000.0,82.114199869836,407000000.0,16.6370752014503
8,26.7,5.7,26.82,2.4,435000000.0,11.702993766678,335000000.0,79.673379966184,410000000.0,16.5627585065821
9,26.7,5.7,26.82,2.5,438000000.0,11.473545189951,338000000.0,77.491860665981,413000000.0,16.466871797385302
10,26.7,5.7,26.82,2.6,441000000.0,11.231374267412,341000000.0,75.51485126141901,416000000.0,16.3485236192594
12,26.7,5.7,26.94,2.2,428000000.0,12.268997278836,328000000.0,83.57851838434699,403000000.0,17.1135560394304
13,26.7,5.7,26.94,2.3,431000000.0,12.062066192058,331000000.0,81.006958777582,406000000.0,17.060082357580498
14,26.7,5.7,26.94,2.4,434000000.0,11.844796223433,334000000.0,78.72269460038001,409000000.0,16.9856914542781
15,26.7,5.7,26.94,2.5,437000000.0,11.616159399774,337000000.0,76.66327415956401,412000000.0,16.88948310403
16,26.7,5.7,26.94,2.6,440000000.0,11.374952344803,340000000.0,74.783619512274,415000000.0,16.7704888197768
18,26.7,5.7,27.06,2.2,427000000.0,12.411300390091,327000000.0,82.46080173838,402000000.0,17.5502078431057
19,26.7,5.7,27.06,2.3,430000000.0,12.204612242467,330000000.0,80.054774114743,405000000.0,17.4967455589349
20,26.7,5.7,27.06,2.4,433000000.0,11.987800132165,333000000.0,77.898544682942,408000000.0,17.422176338339902
21,26.7,5.7,27.06,2.5,436000000.0,11.759783017609,336000000.0,75.940524322522,411000000.0,17.3255235281283
22,26.7,5.7,27.06,2.6,438000000.0,11.521151423704,338000000.0,72.960071378761,413000000.0,17.9339553120426
24,26.7,5.7,27.18,2.2,426000000.0,12.555376341622,326000000.0,81.49714822055401,401000000.0,18.0005114974885
25,26.7,5.7,27.18,2.3,429000000.0,12.348847228608,329000000.0,79.227349616076,404000000.0,17.9470042267211
26,26.7,5.7,27.18,2.4,432000000.0,12.132371573859,332000000.0,77.17814296066301,407000000.0,17.8721797788549
27,26.7,5.7,27.18,2.5,435000000.0,11.904811937959,335000000.0,75.305929989578,410000000.0,17.774983432798898
28,26.7,5.7,27.18,2.6,437000000.0,11.668681449702,337000000.0,72.47603123971601,412000000.0,18.3926135888578
30,26.7,5.7,27.3,2.2,425000000.0,12.701477656468,325000000.0,80.657911283232,400000000.0,18.464326803176903
31,26.7,5.7,27.3,2.3,428000000.0,12.495068964241,328000000.0,78.5026552327,403000000.0,18.4107580511505
32,26.7,5.7,27.3,2.4,431000000.0,12.278851109842,331000000.0,76.54457020823999,406000000.0,18.3356391122288
33,26.7,5.7,27.3,2.5,434000000.0,12.051625592699,334000000.0,74.746133465346,409000000.0,18.2378340916957
34,26.7,5.7,27.3,2.6,436000000.0,11.816136343889,336000000.0,72.046443572001,411000000.0,18.862377950342697
36,26.7,5.82,26.7,2.2,429000000.0,12.091901877075,329000000.0,84.115498983951,404000000.0,16.8499648491048
37,26.7,5.82,26.7,2.3,432000000.0,11.883122478527,332000000.0,81.412571370685,407000000.0,16.8017895946834
38,26.7,5.82,26.7,2.4,435000000.0,11.66411086857,335000000.0,79.030522705082,410000000.0,16.733164522719
39,26.7,5.82,26.7,2.5,438000000.0,11.433945424969,338000000.0,76.896309513004,413000000.0,16.6433268258787
40,26.7,5.82,26.7,2.6,441000000.0,11.191507221591,341000000.0,74.95824388747,416000000.0,16.5314279806803
42,26.7,5.82,26.82,2.2,428000000.0,12.232529858259,328000000.0,82.834550438867,403000000.0,17.271002597177898
43,26.7,5.82,26.82,2.3,431000000.0,12.024229243792,331000000.0,80.33198625355101,406000000.0,17.2229972305364
44,26.7,5.82,26.82,2.4,434000000.0,11.805988039139,334000000.0,78.10225949054299,409000000.0,17.1544150925478
45,26.7,5.82,26.82,2.5,437000000.0,11.576830865119,337000000.0,76.08705585734,412000000.0,17.0644145092614
46,26.7,5.82,26.82,2.6,440000000.0,11.335588377443,340000000.0,74.244051060183,415000000.0,16.9520664500557
48,26.7,5.82,26.94,2.2,427000000.0,12.374484117516,327000000.0,81.747540120226,402000000.0,17.7056162834767
49,26.7,5.82,26.94,2.3,430000000.0,12.166520973708,330000000.0,79.405054391568,405000000.0,17.6576716202554
50,26.7,5.82,26.94,2.4,433000000.0,11.948878102608,333000000.0,77.29944713761701,408000000.0,17.5890089233634
51,26.7,5.82,26.94,2.5,436000000.0,11.72052404063,336000000.0,75.382769594399,411000000.0,17.4987071196125
52,26.7,5.82,26.94,2.6,439000000.0,11.480238424103,339000000.0,73.61946455877,414000000.0,17.385757933420898
54,26.7,5.82,27.06,2.2,426000000.0,12.518053358974,326000000.0,80.812791445793,401000000.0,18.153713346858503
55,26.7,5.82,27.06,2.3,429000000.0,12.310320555721,329000000.0,78.60152754653501,404000000.0,18.1057478533829
56,26.7,5.82,27.06,2.4,432000000.0,12.09313622936,332000000.0,76.599320434159,407000000.0,18.036907243629802
57,26.7,5.82,27.06,2.5,435000000.0,11.865409359378,335000000.0,74.765776251518,410000000.0,17.9461892403249
58,26.7,5.82,27.06,2.6,438000000.0,11.625866643627,338000000.0,73.070394818808,413000000.0,17.832506149198302
60,26.7,5.82,27.18,2.2,425000000.0,12.663480219885,325000000.0,80.00074475836,400000000.0,18.6151488852312
61,26.7,5.82,27.18,2.3,428000000.0,12.455913445427,328000000.0,77.899419964034,403000000.0,18.567118648186103
62,26.7,5.82,27.18,2.4,431000000.0,12.239088936642,331000000.0,75.984979244512,406000000.0,18.4980389278522
63,26.7,5.82,27.18,2.5,434000000.0,12.011851328064,334000000.0,74.222722125957,409000000.0,18.406822991433
64,26.7,5.82,27.18,2.6,437000000.0,11.772870988703,337000000.0,72.586042343778,412000000.0,18.292301956596198
66,26.7,5.82,27.3,2.2,424000000.0,12.810938969868,324000000.0,79.289820663086,399000000.0,19.089708466131
67,26.7,5.82,27.3,2.3,427000000.0,12.603527898192,327000000.0,77.282315585015,402000000.0,19.041619646062
