,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
0,26.7,5.7,26.7,3.2,459000000,9.3836063460924,359000000,65.8046412297894
1,26.7,5.7,26.7,3.3,462000000,9.0410788324231,362000000,64.5634973330461
2,26.7,5.7,26.7,3.4,464000000,8.694130152154,364000000,62.535508657163
3,26.7,5.7,26.7,3.5,467000000,8.3465001841395,367000000,61.4451696657855
4,26.7,5.7,26.7,3.6,470000000,7.9913277456291,370000000,60.3995066240741
6,26.7,5.7,26.82,3.2,458000000,9.5480483458317,358000000,65.4117637124837
7,26.7,5.7,26.82,3.3,461000000,9.2062931732116,361000000,64.1979382359726
8,26.7,5.7,26.82,3.4,463000000,8.8727505574926,363000000,62.2533084134156
9,26.7,5.7,26.82,3.5,466000000,8.5242099034888,366000000,61.1787671651348
10,26.7,5.7,26.82,3.6,469000000,8.1649695062073,369000000,60.1434106082023
12,26.7,5.7,26.94,3.2,457000000,9.7109369106696,357000000,65.0639288555096
13,26.7,5.7,26.94,3.3,459000000,9.3811357857449,359000000,63.0994219276999
14,26.7,5.7,26.94,3.4,462000000,9.0493555506815,362000000,62.0047428412775
15,26.7,5.7,26.94,3.5,465000000,8.7003865930838,365000000,60.9444790140288
16,26.7,5.7,26.94,3.6,468000000,8.3378791334227,368000000,59.9185001640687
18,26.7,5.7,27.06,3.2,456000000,9.8725699787255,356000000,64.7556556642885
19,26.7,5.7,27.06,3.3,458000000,9.5540828172896,358000000,62.8637815038076
20,26.7,5.7,27.06,3.4,461000000,9.2240551528379,361000000,61.7860029959659
21,26.7,5.7,27.06,3.5,464000000,8.8750558480081,364000000,60.7387242299601
22,26.7,5.7,27.06,3.6,467000000,8.5099634763715,367000000,59.7213376971125
24,26.7,5.7,27.18,3.2,455000000,10.033266254089,355000000,64.482520904447
25,26.7,5.7,27.18,3.3,457000000,9.7250858470409,357000000,62.6563030944839
26,26.7,5.7,27.18,3.4,460000000,9.3969799717899,360000000,61.5939340023179
27,26.7,5.7,27.18,3.5,463000000,9.0482797099926,363000000,60.5585288845706
28,26.7,5.7,27.18,3.6,466000000,8.681178986159,366000000,59.549054269321
30,26.7,5.7,27.3,3.2,453000000,10.197985326224,353000000,63.549273854076
31,26.7,5.7,27.3,3.3,456000000,9.8943008616184,356000000,62.4741238476334
32,26.7,5.7,27.3,3.4,459000000,9.5682717132175,359000000,61.4258977922425
33,26.7,5.7,27.3,3.5,462000000,9.2201491475675,362000000,60.4014059570125
34,26.7,5.7,27.3,3.6,465000000,8.8515266368901,365000000,59.3992440868531
36,26.7,5.82,26.7,3.2,458000000,9.4902570968956,358000000,65.0010453422576
37,26.7,5.82,26.7,3.3,461000000,9.1513726485191,361000000,63.8010849290171
38,26.7,5.82,26.7,3.4,464000000,8.7956488327902,364000000,62.6462844997112
39,26.7,5.82,26.7,3.5,466000000,8.444547121698,366000000,60.797796277407
40,26.7,5.82,26.7,3.6,469000000,8.0900253658429,369000000,59.7735310052449
42,26.7,5.82,26.82,3.2,457000000,9.6554096768949,357000000,64.6634562034589
43,26.7,5.82,26.82,3.3,460000000,9.3177198456594,360000000,63.4873419920444
44,26.7,5.82,26.82,3.4,462000000,8.9684658642536,362000000,61.6215202101596
45,26.7,5.82,26.82,3.5,465000000,8.6238978927174,365000000,60.5726206026654
46,26.7,5.82,26.82,3.6,468000000,8.2665881153046,368000000,59.5578893068106
48,26.7,5.82,26.94,3.2,456000000,9.8190092908821,356000000,64.3650354650631
49,26.7,5.82,26.94,3.3,459000000,9.482486587174,359000000,63.210004287201
50,26.7,5.82,26.94,3.4,461000000,9.1454749233713,361000000,61.4113454913883
51,26.7,5.82,26.94,3.5,464000000,8.8013858112199,364000000,60.3755880738069
52,26.7,5.82,26.94,3.6,467000000,8.4419848272061,367000000,59.3696307645711
54,26.7,5.82,27.06,3.2,455000000,9.981361389499,355000000,64.101341639586
55,26.7,5.82,27.06,3.3,458000000,9.6459390096441,358000000,62.9650441876571
56,26.7,5.82,27.06,3.4,460000000,9.3203168429199,360000000,61.2273971610989
57,26.7,5.82,27.06,3.5,463000000,8.9770549625473,363000000,60.2037019242433
58,26.7,5.82,27.06,3.6,466000000,8.6161583868509,366000000,59.2058679744119
60,26.7,5.82,27.18,3.2,454000000,10.142781836748,354000000,63.868750605156
61,26.7,5.82,27.18,3.3,456000000,9.8139166160426,356000000,62.1031762820766
62,26.7,5.82,27.18,3.4,459000000,9.4931065068402,359000000,61.0670058902282
63,26.7,5.82,27.18,3.5,462000000,9.1509741546193,362000000,60.0544484376473
64,26.7,5.82,27.18,3.6,465000000,8.7890926231973,365000000,59.0641734102563
66,26.7,5.82,27.3,3.2,453000000,10.303588210424,353000000,63.664275902134
67,26.7,5.82,27.3,3.3,455000000,9.9819514271053,355000000,61.9507807113043
68,26.7,5.82,27.3,3.4,458000000,9.663952706239,358000000,60.92790469491
69,26.7,5.82,27.3,3.5,461000000,9.3232268473922,361000000,59.9257002427282
70,26.7,5.82,27.3,3.6,464000000,8.9608048574452,364000000,58.9424942635892
72,26.7,5.94,26.7,3.2,457000000,9.5906809318005,357000000,64.2725403093775
73,26.7,5.94,26.7,3.3,460000000,9.2563369785654,360000000,63.1094105291224
74,26.7,5.94,26.7,3.4,463000000,8.9044384167847,363000000,61.9862782749607
75,26.7,5.94,26.7,3.5,466000000,8.5372281894729,366000000,60.9007383983019
76,26.7,5.94,26.7,3.6,468000000,8.1822795790909,368000000,59.1988158278159
78,26.7,5.94,26.82,3.2,456000000,9.7565296339595,356000000,63.9835549341185
79,26.7,5.94,26.82,3.3,459000000,9.4238214441691,359000000,62.8415026751341
80,26.7,5.94,26.82,3.4,462000000,9.0723218136323,362000000,61.7354563987653
81,26.7,5.94,26.82,3.5,464000000,8.7148324355591,364000000,60.0140344524891
82,26.7,5.94,26.82,3.6,467000000,8.3613293456066,367000000,59.0193543490236
84,26.7,5.94,26.94,3.2,455000000,9.9207791188705,355000000,63.7288653122325
85,26.7,5.94,26.94,3.3,458000000,9.5896534867295,358000000,62.6055723430825
86,26.7,5.94,26.94,3.4,461000000,9.238631247349,361000000,61.514747460654
87,26.7,5.94,26.94,3.5,463000000,8.893175255045,363000000,59.850219710721
88,26.7,5.94,26.94,3.6,466000000,8.5387613636497,366000000,58.8639741837277
90,26.7,5.94,27.06,3.2,454000000,10.08372345357,354000000,63.504821021347
91,26.7,5.94,27.06,3.3,457000000,9.7541051856769,357000000,62.3983039749449
92,26.7,5.94,27.06,3.4,459000000,9.4051993271029,359000000,60.7092832751899
93,26.7,5.94,27.06,3.5,462000000,9.0693247564892,362000000,59.7085609225332
94,26.7,5.94,27.06,3.6,465000000,8.7145373796718,365000000,58.7302213762098
96,26.7,5.94,27.18,3.2,453000000,10.245652828119,353000000,63.308404180716
97,26.7,5.94,27.18,3.3,456000000,9.9174601102224,356000000,62.2169579568534
98,26.7,5.94,27.18,3.4,458000000,9.5771481642945,358000000,60.5768980928305
99,26.7,5.94,27.18,3.5,461000000,9.2433314201235,361000000,59.5868936929975
100,26.7,5.94,27.18,3.6,464000000,8.8886477778898,364000000,58.6160120985658
102,26.7,5.94,27.3,3.2,452000000,10.406841422686,352000000,63.137088600224
103,26.7,5.94,27.3,3.3,455000000,10.080003509265,355000000,62.059249415137
104,26.7,5.94,27.3,3.4,457000000,9.7466876252146,357000000,60.4632426450836
105,26.7,5.94,27.3,3.5,460000000,9.4152414432218,360000000,59.4833538891898
106,26.7,5.94,27.3,3.6,463000000,9.0611011898936,363000000,58.5195614512266
108,26.7,6.06,26.7,3.2,456000000,9.6828999418563,356000000,63.6075295782643
109,26.7,6.06,26.7,3.3,459000000,9.3540363458077,359000000,62.4778307546297
110,26.7,6.06,26.7,3.4,462000000,9.0071175081232,362000000,61.3838080805862
111,26.7,6.06,26.7,3.5,465000000,8.6437749703881,365000000,60.3229750310041
112,26.7,6.06,26.7,3.6,468000000,8.267516447557,368000000,59.295277918492
114,26.7,6.06,26.82,3.2,455000000,9.8492565802391,355000000,63.3614560570671
115,26.7,6.06,26.82,3.3,458000000,9.5225178189739,358000000,62.2506492474499
116,26.7,6.06,26.82,3.4,461000000,9.1766170463308,361000000,61.1720289346288
117,26.7,6.06,26.82,3.5,464000000,8.812617598469,364000000,60.122880082301
118,26.7,6.06,26.82,3.6,466000000,8.4463007399518,366000000,58.5197251160448
120,26.7,6.06,26.94,3.2,454000000,10.013884783424,354000000,63.145537998249
121,26.7,6.06,26.94,3.3,457000000,9.689215749297,357000000,62.051674523358
122,26.7,6.06,26.94,3.4,460000000,9.3443805015023,360000000,60.9868706180643
123,26.7,6.06,26.94,3.5,463000000,8.9799470167415,363000000,59.9482110847085
124,26.7,6.06,26.94,3.6,465000000,8.6251190494009,365000000,58.3937302997209
126,26.7,6.06,27.06,3.2,453000000,10.177041613003,353000000,62.956720334128
127,26.7,6.06,27.06,3.3,456000000,9.8543856867681,356000000,61.8781347411371
128,26.7,6.06,27.06,3.4,459000000,9.5106322757518,359000000,60.8257689641638
