,Val1,Val2,Val3,VTUNE12,fpeak,gain,fimg,img
0,5.7,26.7,1.7,1,395000000,14.548274267205,295000000,83.69625673559
1,5.7,26.7,1.7,1.1,398000000,14.46869685912,298000000,86.011925699559
2,5.7,26.7,1.7,1.2,401000000,14.358840236967,301000000,88.665791826249
3,5.7,26.7,1.7,1.3,404000000,14.223867349759,304000000,91.790502827551
4,5.7,26.7,1.7,1.4,407000000,14.068423477975,307000000,95.588442815593
6,5.7,26.7,1.82,1,394000000,14.268704782581,294000000,85.040613686112
7,5.7,26.7,1.82,1.1,397000000,14.189200184092,297000000,87.674268162012
8,5.7,26.7,1.82,1.2,400000000,14.082955026897,300000000,90.764519879349
9,5.7,26.7,1.82,1.3,403000000,13.954567182544,303000000,94.510485902398
10,5.7,26.7,1.82,1.4,406000000,13.808110925605,306000000,99.223895088111
12,5.7,26.7,1.94,1,393000000,13.968784197638,293000000,86.613973731691
13,5.7,26.7,1.94,1.1,396000000,13.889517140948,296000000,89.65089447009
14,5.7,26.7,1.94,1.2,399000000,13.786715105023,299000000,93.31641171805
15,5.7,26.7,1.94,1.3,402000000,13.664458785956,302000000,97.918836560859
16,5.7,26.7,1.94,1.4,405000000,13.526311801055,305000000,103.888240737645
18,5.7,26.7,2.06,1,392000000,13.654749391225,292000000,88.471427983628
19,5.7,26.7,2.06,1.1,395000000,13.575986307536,295000000,92.034473936973
20,5.7,26.7,2.06,1.2,398000000,13.476566207853,298000000,96.486056089612
21,5.7,26.7,2.06,1.3,401000000,13.360099828219,301000000,102.29118053918
22,5.7,26.7,2.06,1.4,404000000,13.229696703845,304000000,109.43591751028
24,5.7,26.7,2.18,1,391000000,13.331426656343,291000000,90.690410289844
25,5.7,26.7,2.18,1.1,394000000,13.253478881133,294000000,94.963613013162
26,5.7,26.7,2.18,1.2,397000000,13.157441758815,297000000,100.524500337041
27,5.7,26.7,2.18,1.3,400000000,13.046501508091,300000000,107.78973541799
28,5.7,26.7,2.18,1.4,404000000,12.938424014954,304000000,108.645485650634
30,5.7,26.7,2.3,1,390000000,13.002554074366,290000000,93.385215987039
31,5.7,26.7,2.3,1.1,393000000,12.925741992907,293000000,98.653313651403
32,5.7,26.7,2.3,1.2,396000000,12.833121659041,296000000,105.728085717631
33,5.7,26.7,2.3,1.3,400000000,12.742787809448,300000000,107.013243135573
34,5.7,26.7,2.3,1.4,403000000,12.644794899538,303000000,112.223508768655
36,5.7,26.82,1.7,1,394000000,14.767766791619,294000000,85.46884494917
37,5.7,26.82,1.7,1.1,397000000,14.675240428155,297000000,87.954801010045
38,5.7,26.82,1.7,1.2,400000000,14.55396358379,300000000,90.842105175695
