,Val1,Val2,Val3,VTUNE12,fpeak,gain,fimg,img
0,5.7,26.7,1.7,2.2,432000000,12.437976078696,332000000,95.78897680783
1,5.7,26.7,1.7,2.3,435000000,12.192232014604,335000000,91.500645913869
2,5.7,26.7,1.7,2.4,438000000,11.934711325102,338000000,87.937514020153
3,5.7,26.7,1.7,2.5,440000000,11.676515997319,340000000,82.604444278775
4,5.7,26.7,1.7,2.6,443000000,11.408118075528,343000000,80.236131392903
6,5.7,26.7,1.82,2.2,431000000,12.30803944631,331000000,91.300344716842
7,5.7,26.7,1.82,2.3,434000000,12.078063763009,334000000,87.671365249416
8,5.7,26.7,1.82,2.4,437000000,11.836809132434,337000000,84.595105880639
9,5.7,26.7,1.82,2.5,440000000,11.583476584271,340000000,81.9237844047
10,5.7,26.7,1.82,2.6,442000000,11.321735029158,342000000,77.796998254445
12,5.7,26.7,1.94,2.2,430000000,12.144834032897,330000000,87.52089282063
13,5.7,26.7,1.94,2.3,433000000,11.929691541545,333000000,84.386869771036
14,5.7,26.7,1.94,2.4,436000000,11.703778291967,336000000,81.677569733839
15,5.7,26.7,1.94,2.5,439000000,11.466207058624,339000000,79.287309709537
16,5.7,26.7,1.94,2.6,442000000,11.215903403958,342000000,77.143808376056
18,5.7,26.7,2.06,2.2,429000000,11.955970397199,329000000,84.279369070057
19,5.7,26.7,2.06,2.3,432000000,11.754743179397,332000000,81.517477561655
20,5.7,26.7,2.06,2.4,435000000,11.54325323843,335000000,79.090728259366
21,5.7,26.7,2.06,2.5,438000000,11.320544283444,338000000,76.921995531667
22,5.7,26.7,2.06,2.6,441000000,11.085472409084,341000000,74.956899622922
24,5.7,26.7,2.18,2.2,428000000,11.747586527689,328000000,81.447095657033
25,5.7,26.7,2.18,2.3,431000000,11.559392593675,331000000,78.971788452325
26,5.7,26.7,2.18,2.4,434000000,11.36143589364,334000000,76.768058711569
27,5.7,26.7,2.18,2.5,437000000,11.152708409321,337000000,74.777908971617
28,5.7,26.7,2.18,2.6,440000000,10.932014297103,340000000,72.959226478962
30,5.7,26.7,2.3,2.2,427000000,11.524628620567,327000000,78.934262605609
31,5.7,26.7,2.3,2.3,430000000,11.348633674044,330000000,76.68534006773
