,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
0,3.7,5.7,26.7,3.2,460000000.0,8.7528443854186,360000000.0,67.0137447131156,435000000.0,15.085153127343
1,3.7,5.7,26.7,3.3,463000000.0,8.4305951419461,363000000.0,65.7368882650341,438000000.0,14.845616382243
2,3.7,5.7,26.7,3.4,466000000.0,8.0925271853768,366000000.0,64.5192548024828,441000000.0,14.589780631595701
3,3.7,5.7,26.7,3.5,469000000.0,7.743045891174,369000000.0,63.357972340124,444000000.0,14.3241648673195
4,3.7,5.7,26.7,3.6,472000000.0,7.3893139889114,372000000.0,62.25409363398241,447000000.0,14.058285441756802
6,3.7,5.7,26.82,3.2,459000000.0,8.9197399257527,359000000.0,66.5550549374517,434000000.0,15.492328865285499
7,3.7,5.7,26.82,3.3,462000000.0,8.5993747024526,362000000.0,65.31191991056761,437000000.0,15.2483702700171
8,3.7,5.7,26.82,3.4,465000000.0,8.2613199537003,365000000.0,64.1215119987933,440000000.0,14.9852689185856
9,3.7,5.7,26.82,3.5,468000000.0,7.9091071121929,368000000.0,62.9808425768909,443000000.0,14.7085943730029
10,3.7,5.7,26.82,3.6,470000000.0,7.5579765504937,370000000.0,61.0615142036387,445000000.0,15.1330860946775
12,3.7,5.7,26.94,3.2,458000000.0,9.0845083209417,358000000.0,66.1481035387117,433000000.0,15.9111292753425
13,3.7,5.7,26.94,3.3,461000000.0,8.7661846211051,361000000.0,64.9347015928511,436000000.0,15.6631883862971
14,3.7,5.7,26.94,3.4,464000000.0,8.4285146307589,364000000.0,63.7684072621959,439000000.0,15.3935056872666
15,3.7,5.7,26.94,3.5,467000000.0,8.0742426858847,367000000.0,62.6460719139207,442000000.0,15.1067844648177
16,3.7,5.7,26.94,3.6,469000000.0,7.7346854458154,369000000.0,60.7987623686554,444000000.0,15.5458363909094
18,3.7,5.7,27.06,3.2,457000000.0,9.2473713229303,357000000.0,65.7859915147703,432000000.0,16.341344087811002
19,3.7,5.7,27.06,3.3,460000000.0,8.9311933306999,360000000.0,64.5990452606709,435000000.0,16.0898011326519
20,3.7,5.7,27.06,3.4,463000000.0,8.5941948573771,363000000.0,63.45428913149411,438000000.0,15.8141319370963
21,3.7,5.7,27.06,3.5,465000000.0,8.2507702441933,365000000.0,61.5834735906383,440000000.0,16.2527112736155
22,3.7,5.7,27.06,3.6,468000000.0,7.9104817505735,368000000.0,60.5670321981215,443000000.0,15.971671762958302
24,3.7,5.7,27.18,3.2,456000000.0,9.4085657849153,356000000.0,65.4631868826593,431000000.0,16.7827753178369
25,3.7,5.7,27.18,3.3,459000000.0,9.0945970176785,359000000.0,64.2999625240895,434000000.0,16.5279636745876
26,3.7,5.7,27.18,3.4,462000000.0,8.7584847178642,362000000.0,63.1745762162292,437000000.0,16.2468255385934
27,3.7,5.7,27.18,3.5,464000000.0,8.4266763398604,364000000.0,61.3686663295134,439000000.0,16.7001488248597
28,3.7,5.7,27.18,3.6,467000000.0,8.0852312023237,367000000.0,60.362854167467695,442000000.0,16.410018252955197
