,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
0,3.7,5.7,26.7,1.0,395000000.0,12.716344131304,295000000.0,80.95443927308399,370000000.0,14.827131184651
1,3.7,5.7,26.7,1.1,398000000.0,12.668960160488,298000000.0,83.30858716562099,373000000.0,15.016732424213199
2,3.7,5.7,26.7,1.2,401000000.0,12.600573332989,301000000.0,86.009989101209,376000000.0,15.1811165840161
3,3.7,5.7,26.7,1.3,404000000.0,12.514243141297,304000000.0,89.189191290861,379000000.0,15.3224520848708
4,3.7,5.7,26.7,1.4,407000000.0,12.412640430783,307000000.0,93.046582815807,382000000.0,15.4426206963609
6,3.7,5.7,26.82,1.0,394000000.0,12.861823685244,294000000.0,82.65433921506201,369000000.0,15.199673733481799
7,3.7,5.7,26.82,1.1,397000000.0,12.808393368245,297000000.0,85.185643914406,372000000.0,15.387404763719399
8,3.7,5.7,26.82,1.2,400000000.0,12.735001455805,300000000.0,88.126868035257,375000000.0,15.550649921073699
9,3.7,5.7,26.82,1.3,403000000.0,12.644681272093,303000000.0,91.641224056819,378000000.0,15.691544812100501
10,3.7,5.7,26.82,1.4,406000000.0,12.540049993395,306000000.0,95.983922724985,381000000.0,15.8119102997009
12,3.7,5.7,26.94,1.0,393000000.0,13.006837282666,293000000.0,84.461350832265,368000000.0,15.5845324844612
13,3.7,5.7,26.94,1.1,396000000.0,12.94734964877,296000000.0,87.207187639367,371000000.0,15.770403018483801
14,3.7,5.7,26.94,1.2,399000000.0,12.868974827276,299000000.0,90.445923389292,374000000.0,15.9325444743647
15,3.7,5.7,26.94,1.3,402000000.0,12.774708270379,302000000.0,94.38868025148699,377000000.0,16.0730492639666
16,3.7,5.7,26.94,1.4,405000000.0,12.667103651036,305000000.0,99.371178164782,380000000.0,16.1936691508295
18,3.7,5.7,27.06,1.0,392000000.0,13.151190115774,292000000.0,86.397016767367,367000000.0,15.981356285415501
19,3.7,5.7,27.06,1.1,395000000.0,13.085667780408,295000000.0,89.407807718794,370000000.0,16.1653886964431
20,3.7,5.7,27.06,1.2,398000000.0,13.002365584241,298000000.0,93.02545785290401,373000000.0,16.3264745487338
21,3.7,5.7,27.06,1.3,401000000.0,12.904229189639,301000000.0,97.534168265181,376000000.0,16.4666527577381
22,3.7,5.7,27.06,1.4,404000000.0,12.79373899936,304000000.0,103.380765680419,379000000.0,16.5875980769192
24,3.7,5.7,27.18,1.0,391000000.0,13.294611901462,291000000.0,88.49063017329101,366000000.0,16.3896852368255
25,3.7,5.7,27.18,1.1,394000000.0,13.22311228629,294000000.0,91.83687021713,369000000.0,16.571916305185
26,3.7,5.7,27.18,1.2,397000000.0,13.134972794624,297000000.0,95.95319941269301,372000000.0,16.7320094374678
27,3.7,5.7,27.18,1.3,400000000.0,13.033077339687,300000000.0,101.234917237277,375000000.0,16.8719399583039
28,3.7,5.7,27.18,1.4,403000000.0,12.919823506993,303000000.0,108.16940017383,378000000.0,16.9932980894869
30,3.7,5.7,27.3,1.0,390000000.0,13.436734096103,290000000.0,90.783441088962,365000000.0,16.808931231664502
31,3.7,5.7,27.3,1.1,393000000.0,13.359350605672,293000000.0,94.567887693657,368000000.0,16.9894142153285
32,3.7,5.7,27.3,1.2,396000000.0,13.266499662072,296000000.0,99.36554927954799,371000000.0,17.148594654394
33,3.7,5.7,27.3,1.3,399000000.0,13.160991622888,299000000.0,105.691070434029,374000000.0,17.2883745413158
34,3.7,5.7,27.3,1.4,403000000.0,13.046184640516,303000000.0,106.463671800268,378000000.0,16.7468644143343
36,3.7,5.82,26.7,1.0,394000000.0,12.850381701442,294000000.0,83.315681459694,369000000.0,15.2825651225966
37,3.7,5.82,26.7,1.1,397000000.0,12.799423924427,297000000.0,85.983037770359,372000000.0,15.480980872444299
38,3.7,5.82,26.7,1.2,400000000.0,12.72704712274,300000000.0,89.112143886208,375000000.0,15.6532849776936
39,3.7,5.82,26.7,1.3,403000000.0,12.636467294682,303000000.0,92.90073118383899,378000000.0,15.801805422831299
40,3.7,5.82,26.7,1.4,406000000.0,12.53050676386,306000000.0,97.659228871338,381000000.0,15.928577977210601
42,3.7,5.82,26.82,1.0,393000000.0,12.998217009115,293000000.0,85.149524232985,368000000.0,15.6694796576722
43,3.7,5.82,26.82,1.1,396000000.0,12.940766288932,296000000.0,88.04191412873699,371000000.0,15.8655211770182
44,3.7,5.82,26.82,1.2,399000000.0,12.862991341287,299000000.0,91.486409294604,374000000.0,16.0362315826824
45,3.7,5.82,26.82,1.3,402000000.0,12.768081536924,302000000.0,95.73473106148,377000000.0,16.183906744166002
46,3.7,5.82,26.82,1.4,405000000.0,12.658803087034,305000000.0,101.18086854421401,380000000.0,16.3105205779371
48,3.7,5.82,26.94,1.0,392000000.0,13.145799076932,292000000.0,87.11511042426599,367000000.0,16.068775551146402
49,3.7,5.82,26.94,1.1,395000000.0,13.081820487422,295000000.0,90.284643955771,370000000.0,16.2624051992099
50,3.7,5.82,26.94,1.2,398000000.0,12.998648420784,298000000.0,94.12916949944801,373000000.0,16.4315131224816
51,3.7,5.82,26.94,1.3,401000000.0,12.899433705257,301000000.0,98.980601912582,376000000.0,16.5783527739852
52,3.7,5.82,26.94,1.4,404000000.0,12.786876511931,304000000.0,105.338981522301,379000000.0,16.7048281385927
54,3.7,5.82,27.06,1.0,391000000.0,13.292903730977,291000000.0,89.242212084474,366000000.0,16.480040036323302
55,3.7,5.82,27.06,1.1,394000000.0,13.222391672301,294000000.0,92.761451845732,369000000.0,16.6712294150315
56,3.7,5.82,27.06,1.2,397000000.0,13.133853168591,297000000.0,97.129784677439,372000000.0,16.8387362842766
57,3.7,5.82,27.06,1.3,400000000.0,13.030388400543,300000000.0,102.798112516908,375000000.0,16.9847614350644
58,3.7,5.82,27.06,1.4,403000000.0,12.914621674024,303000000.0,110.280720936558,378000000.0,17.1111311114067
60,3.7,5.82,27.18,1.0,390000000.0,13.439214026793,290000000.0,91.57266055383299,365000000.0,16.902737813403398
61,3.7,5.82,27.18,1.1,393000000.0,13.362192874962,293000000.0,95.546919010752,368000000.0,17.091469320335
