,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
0,5.7,1.7,26.7,1.0,395000000.0,14.548273717154,295000000.0,83.696254264947,370000000.0,17.8452411165311
1,5.7,1.7,26.7,1.1,398000000.0,14.468696356024,298000000.0,86.011922966915,373000000.0,18.0076940537976
2,5.7,1.7,26.7,1.2,401000000.0,14.358839773976,301000000.0,88.665788745693,376000000.0,18.1347363391223
3,5.7,1.7,26.7,1.3,404000000.0,14.223866919708,304000000.0,91.790499281599,379000000.0,18.2307234678632
4,5.7,1.7,26.7,1.4,407000000.0,14.068423073943,307000000.0,95.588438637387,382000000.0,18.2995936347558
6,5.7,1.7,26.82,1.0,394000000.0,14.767766240865,294000000.0,85.468842325799,369000000.0,18.3094772399841
7,5.7,1.7,26.82,1.1,397000000.0,14.675239923258,297000000.0,87.954798055354,372000000.0,18.4621130588231
8,5.7,1.7,26.82,1.2,400000000.0,14.553963117124,300000000.0,90.842101765595,375000000.0,18.580591010443
9,5.7,1.7,26.82,1.3,403000000.0,14.409204530736,303000000.0,94.296204105992,378000000.0,18.669369052264102
10,5.7,1.7,26.82,1.4,406000000.0,14.245614896799,306000000.0,98.574396833227,381000000.0,18.732386261071298
12,5.7,1.7,26.94,1.0,393000000.0,14.986090758738,293000000.0,87.347877763444,368000000.0,18.7838593986471
13,5.7,1.7,26.94,1.1,396000000.0,14.880063401453,296000000.0,90.040954171467,371000000.0,18.9261330870796
14,5.7,1.7,26.94,1.2,399000000.0,14.747006611267,299000000.0,93.219003762526,374000000.0,19.0356917535076
15,5.7,1.7,26.94,1.3,402000000.0,14.592262179952,302000000.0,97.095508338753,377000000.0,19.1170639477103
16,5.7,1.7,26.94,1.4,405000000.0,14.420452957417,305000000.0,102.008369413236,380000000.0,19.174157387747698
18,5.7,1.7,27.06,1.0,392000000.0,15.201834603892,292000000.0,89.353684119143,367000000.0,19.2667759147628
19,5.7,1.7,27.06,1.1,395000000.0,15.081816334339,295000000.0,92.30379028856099,370000000.0,19.3981929904885
20,5.7,1.7,27.06,1.2,398000000.0,14.936701054253,298000000.0,95.85365651979399,373000000.0,19.4985470125588
21,5.7,1.7,27.06,1.3,401000000.0,14.771863518995,301000000.0,100.289952215873,376000000.0,19.5723980357565
22,5.7,1.7,27.06,1.4,404000000.0,14.591860161663,304000000.0,106.061874604472,379000000.0,19.6235851422672
24,5.7,1.7,27.18,1.0,391000000.0,15.413176201365,291000000.0,91.514002007827,366000000.0,19.7561899870713
25,5.7,1.7,27.18,1.1,394000000.0,15.278767508403,294000000.0,94.791175938181,369000000.0,19.876335033718
26,5.7,1.7,27.18,1.2,397000000.0,15.121423133331,297000000.0,98.83236979697,372000000.0,19.9672958449905
27,5.7,1.7,27.18,1.3,400000000.0,14.946502680898,300000000.0,104.03547248604701,375000000.0,20.0336170956557
28,5.7,1.7,27.18,1.4,404000000.0,14.773755753336,304000000.0,104.552908181015,379000000.0,19.4375710010719
30,5.7,1.7,27.3,1.0,390000000.0,15.617797827583,290000000.0,93.86813110588801,365000000.0,20.249555416311402
31,5.7,1.7,27.3,1.1,393000000.0,15.468725978946,293000000.0,97.574765814422,368000000.0,20.3581290442878
32,5.7,1.7,27.3,1.2,396000000.0,15.299122916052,296000000.0,102.28980913496,371000000.0,20.4396386773117
33,5.7,1.7,27.3,1.3,400000000.0,15.14381403609,300000000.0,102.86700115512599,375000000.0,19.8703467966095
34,5.7,1.7,27.3,1.4,403000000.0,14.983255578498,303000000.0,109.283573886544,378000000.0,19.9399891052
36,5.7,1.82,26.7,1.0,394000000.0,14.268704297824,294000000.0,85.040611162717,369000000.0,17.1901574790608
37,5.7,1.82,26.7,1.1,397000000.0,14.189199735743,297000000.0,87.674265316965,372000000.0,17.3613553432874
38,5.7,1.82,26.7,1.2,400000000.0,14.082954608849,300000000.0,90.764516604097,375000000.0,17.500570840759202
39,5.7,1.82,26.7,1.3,403000000.0,13.954566788609,303000000.0,94.510482041786,378000000.0,17.6115753920969
40,5.7,1.82,26.7,1.4,406000000.0,13.808110549976,306000000.0,99.22389039940401,381000000.0,17.6977158485097
42,5.7,1.82,26.82,1.0,393000000.0,14.464600870652,293000000.0,86.922087001541,368000000.0,17.636351818915
43,5.7,1.82,26.82,1.1,396000000.0,14.37434699734,296000000.0,89.776535368262,371000000.0,17.8002139356196
44,5.7,1.82,26.82,1.2,399000000.0,14.258789949574,299000000.0,93.178278753141,374000000.0,17.9332433195166
45,5.7,1.82,26.82,1.3,402000000.0,14.122565017942,302000000.0,97.38049724394399,377000000.0,18.0392450198929
46,5.7,1.82,26.82,1.4,405000000.0,13.969713564463,305000000.0,102.778563305244,380000000.0,18.1215284488447
48,5.7,1.82,26.94,1.0,392000000.0,14.659530579151,292000000.0,88.934610055759,367000000.0,18.0932703469905
49,5.7,1.82,26.94,1.1,395000000.0,14.558187791326,295000000.0,92.061658000334,370000000.0,18.2494506320769
50,5.7,1.82,26.94,1.2,398000000.0,14.433107965412,298000000.0,95.85932490566901,373000000.0,18.3760729357412
51,5.7,1.82,26.94,1.3,401000000.0,14.288938407406,301000000.0,100.66105669823199,376000000.0,18.4769517315848
52,5.7,1.82,26.94,1.4,404000000.0,14.129663701311,304000000.0,106.96844843816301,379000000.0,18.5553365601058
54,5.7,1.82,27.06,1.0,391000000.0,14.852525095512,291000000.0,91.107207520776,366000000.0,18.5597318727361
55,5.7,1.82,27.06,1.1,394000000.0,14.739801946849,294000000.0,94.579132120481,369000000.0,18.707918561421398
56,5.7,1.82,27.06,1.2,397000000.0,14.605046277785,297000000.0,98.89632138274001,372000000.0,18.8279570864565
57,5.7,1.82,27.06,1.3,400000000.0,14.452888329306,300000000.0,104.51130222533101,375000000.0,18.9236436799446
58,5.7,1.82,27.06,1.4,403000000.0,14.287229694057,303000000.0,111.940389551637,378000000.0,18.9981433762473
60,5.7,1.82,27.18,1.0,390000000.0,15.042328006022,290000000.0,93.48077062681101,365000000.0,19.0342485502609
61,5.7,1.82,27.18,1.1,393000000.0,14.917995434128,293000000.0,97.402632455099,368000000.0,19.174179102462702
62,5.7,1.82,27.18,1.2,396000000.0,14.773482228821,296000000.0,102.426863297594,371000000.0,19.2875158545224
