,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
0,5.7,1.7,26.7,2.2,432000000.0,12.43797601639,332000000.0,95.788964267913,407000000.0,17.5026661859196
1,5.7,1.7,26.7,2.3,435000000.0,12.192231944653,335000000.0,91.50063505812601,410000000.0,17.3994629263224
2,5.7,1.7,26.7,2.4,438000000.0,11.934711263344,338000000.0,87.937504435929,413000000.0,17.2755441057422
3,5.7,1.7,26.7,2.5,440000000.0,11.676514778463,340000000.0,82.604435651014,415000000.0,17.8178272599513
4,5.7,1.7,26.7,2.6,443000000.0,11.408116901521,343000000.0,80.236123348109,418000000.0,17.6690956334049
6,5.7,1.7,26.82,2.2,431000000.0,12.601787774617,331000000.0,93.295407750935,406000000.0,17.9207914570022
7,5.7,1.7,26.82,2.3,434000000.0,12.354477805651,334000000.0,89.495550008773,409000000.0,17.815213386561
8,5.7,1.7,26.82,2.4,437000000.0,12.095755822994,337000000.0,86.28817177163401,412000000.0,17.6888532824726
9,5.7,1.7,26.82,2.5,439000000.0,11.837491621755,339000000.0,81.46053812577199,414000000.0,18.2382760916429
10,5.7,1.7,26.82,2.6,442000000.0,11.570797168696,342000000.0,79.245334847459,417000000.0,18.089226425312198
12,5.7,1.7,26.94,2.2,430000000.0,12.767096225886,330000000.0,91.266654433381,405000000.0,18.3523313411426
13,5.7,1.7,26.94,2.3,433000000.0,12.518080232404,333000000.0,87.84491074764401,408000000.0,18.2443144421227
14,5.7,1.7,26.94,2.4,436000000.0,12.257986127589,336000000.0,84.91059472607,411000000.0,18.1154332831036
15,5.7,1.7,26.94,2.5,438000000.0,11.997516965576,338000000.0,80.47996984926199,413000000.0,18.669529568214
16,5.7,1.7,26.94,2.6,441000000.0,11.732540111601,341000000.0,78.38937524846699,416000000.0,18.5202918970938
18,5.7,1.7,27.06,2.2,429000000.0,12.934094898236,329000000.0,89.590815976058,404000000.0,18.7971671993413
