,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
0,3.7,5.7,26.7,2.2,432000000.0,11.233575129679,332000000.0,93.73681746302199,407000000.0,15.0968673820328
1,3.7,5.7,26.7,2.3,434000000.0,11.043931521887,334000000.0,86.384025119356,409000000.0,15.7173582776627
2,3.7,5.7,26.7,2.4,437000000.0,10.846357566802,337000000.0,83.354076907253,412000000.0,15.6580915296088
3,3.7,5.7,26.7,2.5,440000000.0,10.6372390586,340000000.0,80.729545612184,415000000.0,15.5783765091274
4,3.7,5.7,26.7,2.6,443000000.0,10.415220155686,343000000.0,78.41118361269601,418000000.0,15.4771644001403
6,3.7,5.7,26.82,2.2,430000000.0,11.35966561424,330000000.0,87.964760866152,405000000.0,16.1406576433424
7,3.7,5.7,26.82,2.3,433000000.0,11.174660263371,333000000.0,84.74883051679899,408000000.0,16.1029117717016
8,3.7,5.7,26.82,2.4,436000000.0,10.97956012893,336000000.0,81.98597044708501,411000000.0,16.0455272283938
9,3.7,5.7,26.82,2.5,439000000.0,10.773131551202,339000000.0,79.561526820535,414000000.0,15.967427925501001
10,3.7,5.7,26.82,2.6,442000000.0,10.553969109291,342000000.0,77.397440152352,417000000.0,15.8674823773421
12,3.7,5.7,26.94,2.2,429000000.0,11.487983351564,329000000.0,86.308753472134,404000000.0,16.5368497967432
13,3.7,5.7,26.94,2.3,432000000.0,11.305114134869,332000000.0,83.375295592028,407000000.0,16.5011527501383
14,3.7,5.7,26.94,2.4,435000000.0,11.112384085942,335000000.0,80.821698877608,410000000.0,16.445611655698702
15,3.7,5.7,26.94,2.5,438000000.0,10.908510949373,338000000.0,78.55725517635099,413000000.0,16.3690759160258
16,3.7,5.7,26.94,2.6,441000000.0,10.692040776099,341000000.0,76.518759214319,416000000.0,16.2703345479108
18,3.7,5.7,27.06,2.2,428000000.0,11.616305398185,328000000.0,84.91214508572,403000000.0,16.945608317419598
19,3.7,5.7,27.06,2.3,431000000.0,11.435531705159,331000000.0,82.201532095874,406000000.0,16.911959118742
20,3.7,5.7,27.06,2.4,434000000.0,11.245099508797,334000000.0,79.816562836564,409000000.0,16.8582447699631
21,3.7,5.7,27.06,2.5,437000000.0,11.043676038526,337000000.0,77.683407206369,412000000.0,16.7832401948803
22,3.7,5.7,27.06,2.6,440000000.0,10.82975855102,340000000.0,75.74951479071399,415000000.0,16.6856566607945
24,3.7,5.7,27.18,2.2,427000000.0,11.744798978019,327000000.0,83.71421380161,402000000.0,17.366732136399
25,3.7,5.7,27.18,2.3,430000000.0,11.566119761677,330000000.0,81.184458299996,405000000.0,17.3351606945024
26,3.7,5.7,27.18,2.4,433000000.0,11.377951310326,333000000.0,78.93887366080699,408000000.0,17.283286355537502
27,3.7,5.7,27.18,2.5,436000000.0,11.178907268576,336000000.0,76.915875493446,411000000.0,17.20980831994
28,3.7,5.7,27.18,2.6,439000000.0,10.967434431418,339000000.0,75.070819270538,414000000.0,17.1133603336364
30,3.7,5.7,27.3,2.2,426000000.0,11.873577783873,326000000.0,82.672734936126,401000000.0,17.7999545191026
31,3.7,5.7,27.3,2.3,429000000.0,11.697039363929,329000000.0,80.293451161422,404000000.0,17.7705308374885
32,3.7,5.7,27.3,2.4,432000000.0,11.511146850851,332000000.0,78.165597525959,407000000.0,17.7205492275935
33,3.7,5.7,27.3,2.5,435000000.0,11.314455948136,335000000.0,76.236785680265,410000000.0,17.6486305010566
34,3.7,5.7,27.3,2.6,438000000.0,11.105359789109,338000000.0,74.468430783079,413000000.0,17.5533294521155
36,3.7,5.82,26.7,2.2,431000000.0,11.329944881394,331000000.0,90.06710677584,406000000.0,15.620893777951201
37,3.7,5.82,26.7,2.3,434000000.0,11.136822594347,334000000.0,86.478294792797,409000000.0,15.5774403216601
38,3.7,5.82,26.7,2.4,436000000.0,10.938637575379,336000000.0,81.214007234069,411000000.0,16.201984732149597
39,3.7,5.82,26.7,2.5,439000000.0,10.73016701494,339000000.0,78.854926400041,414000000.0,16.128514450154597
40,3.7,5.82,26.7,2.6,442000000.0,10.509462296559,342000000.0,76.74305282837199,417000000.0,16.033642332586602
42,3.7,5.82,26.82,2.2,430000000.0,11.456384369,330000000.0,88.062439137244,405000000.0,16.0039020115185
43,3.7,5.82,26.82,2.3,432000000.0,11.266823120646,332000000.0,82.556700137452,407000000.0,16.6519552151731
44,3.7,5.82,26.82,2.4,435000000.0,11.071675375666,335000000.0,80.080144547372,410000000.0,16.600685570646903
45,3.7,5.82,26.82,2.5,438000000.0,10.865883320675,338000000.0,77.876109352777,413000000.0,16.528861987778
46,3.7,5.82,26.82,2.6,441000000.0,10.648029715975,341000000.0,75.886205784408,416000000.0,16.4353156569965
48,3.7,5.82,26.94,2.2,429000000.0,11.583788899986,329000000.0,86.405756666331,404000000.0,16.400914089931803
49,3.7,5.82,26.94,2.3,431000000.0,11.397242892712,331000000.0,81.418148769604,406000000.0,17.0611900810029
50,3.7,5.82,26.94,2.4,434000000.0,11.204456793057,334000000.0,79.10384473510801,409000000.0,17.0117662213624
51,3.7,5.82,26.94,2.5,437000000.0,11.001219116785,337000000.0,77.026519469492,412000000.0,16.9415362279194
