,Val1,Val2,Val3,T12,fpeak,gain,fimg,img,fhimg,himg
0,5.7,1.7,26.7,3.2,461000000.0,9.5037835038145,361000000.0,69.7181150298185,436000000.0,16.3414395594746
1,5.7,1.7,26.7,3.3,464000000.0,9.1328143916268,364000000.0,68.3363883667958,439000000.0,16.0536201107895
2,5.7,1.7,26.7,3.4,466000000.0,8.7789347951337,366000000.0,66.0120071570287,441000000.0,16.4675236921957
3,5.7,1.7,26.7,3.5,469000000.0,8.4189280618706,369000000.0,64.8376383006366,444000000.0,16.1920851490043
4,5.7,1.7,26.7,3.6,472000000.0,8.0586573010772,372000000.0,63.724759621354195,447000000.0,15.9208418347642
6,5.7,1.7,26.82,3.2,460000000.0,9.6722303274933,360000000.0,69.1865180459893,435000000.0,16.742373355152502
7,5.7,1.7,26.82,3.3,462000000.0,9.3111143451934,362000000.0,66.8316814035714,437000000.0,17.1534012932895
8,5.7,1.7,26.82,3.4,465000000.0,8.9569773198828,365000000.0,65.6225199594728,440000000.0,16.874286702652
9,5.7,1.7,26.82,3.5,468000000.0,8.5925820045075,368000000.0,64.4670987923035,443000000.0,16.585950409143
10,5.7,1.7,26.82,3.6,471000000.0,8.2239277143259,371000000.0,63.3659060788939,446000000.0,16.296727616196
12,5.7,1.7,26.94,3.2,459000000.0,9.8394440609003,359000000.0,68.7166620964783,434000000.0,17.1551432445781
13,5.7,1.7,26.94,3.3,461000000.0,9.4883905368097,361000000.0,66.4639797519587,436000000.0,17.579744193232898
14,5.7,1.7,26.94,3.4,464000000.0,9.13330729325,364000000.0,65.27759363419901,439000000.0,17.292515599953198
15,5.7,1.7,26.94,3.5,467000000.0,8.7652735971118,367000000.0,64.1389191888878,442000000.0,16.992371044202798
16,5.7,1.7,26.94,3.6,470000000.0,8.3893329815765,370000000.0,63.047991850974505,445000000.0,16.6866213487863
18,5.7,1.7,27.06,3.2,458000000.0,10.005660841124,358000000.0,68.299876795445,433000000.0,17.5796114255802
19,5.7,1.7,27.06,3.3,460000000.0,9.6635387923848,360000000.0,66.13754962186981,435000000.0,18.016450968475098
20,5.7,1.7,27.06,3.4,463000000.0,9.3079430824218,363000000.0,64.9715107143828,438000000.0,17.721853437575803
21,5.7,1.7,27.06,3.5,466000000.0,8.9369317196164,366000000.0,63.8478027870884,441000000.0,17.4108993247395
22,5.7,1.7,27.06,3.6,469000000.0,8.5546807678296,369000000.0,62.7660215138786,444000000.0,17.0899568526927
24,5.7,1.7,27.18,3.2,456000000.0,10.172952535439,356000000.0,67.035649153145,431000000.0,18.7413719813984
25,5.7,1.7,27.18,3.3,459000000.0,9.8366283304501,359000000.0,65.8472748672791,434000000.0,18.4632220953692
26,5.7,1.7,27.18,3.4,462000000.0,9.4809217706216,362000000.0,64.6996020043486,437000000.0,18.161964156533003
27,5.7,1.7,27.18,3.5,465000000.0,9.1075207244988,365000000.0,63.5894040768898,440000000.0,17.841123992976
28,5.7,1.7,27.18,3.6,468000000.0,8.7198254686027,368000000.0,62.5158700414767,443000000.0,17.5062138115671
30,5.7,1.7,27.3,3.2,455000000.0,10.342129701835,355000000.0,66.756232502174,430000000.0,19.2014076721199
31,5.7,1.7,27.3,3.3,458000000.0,10.007715088163,358000000.0,65.588931585267,433000000.0,18.9197512304216
32,5.7,1.7,27.3,3.4,461000000.0,9.6522890574011,361000000.0,64.45800849729011,436000000.0,18.6125262470591
33,5.7,1.7,27.3,3.5,464000000.0,9.2770331298409,364000000.0,63.3601234223729,439000000.0,18.2826669015628
34,5.7,1.7,27.3,3.6,467000000.0,8.8846644926665,367000000.0,62.2941048305655,442000000.0,17.9349182507528
36,5.7,1.82,26.7,3.2,460000000.0,9.5081826278115,360000000.0,68.00102829788051,435000000.0,16.097668586926602
37,5.7,1.82,26.7,3.3,463000000.0,9.1493329121642,363000000.0,66.6855325271062,438000000.0,15.8215065092216
38,5.7,1.82,26.7,3.4,465000000.0,8.792489807896,365000000.0,64.499537135338,440000000.0,16.2425619714664
39,5.7,1.82,26.7,3.5,468000000.0,8.4372299197588,368000000.0,63.3637774243338,443000000.0,15.9696214413283
40,5.7,1.82,26.7,3.6,471000000.0,8.0781856263806,371000000.0,62.2813239943926,446000000.0,15.6962177415077
42,5.7,1.82,26.82,3.2,459000000.0,9.6755119775259,359000000.0,67.5426256912379,434000000.0,16.5079812723053
43,5.7,1.82,26.82,3.3,461000000.0,9.3167148246079,361000000.0,65.33105596450389,436000000.0,16.9324906230096
44,5.7,1.82,26.82,3.4,464000000.0,8.9714436595337,364000000.0,64.1659938001027,439000000.0,16.661391623069598
45,5.7,1.82,26.82,3.5,467000000.0,8.613536635023,367000000.0,63.047438493887995,442000000.0,16.3776352088526
46,5.7,1.82,26.82,3.6,470000000.0,8.2482561159394,370000000.0,61.975834444014396,445000000.0,16.0887493284145
48,5.7,1.82,26.94,3.2,458000000.0,9.8414368754179,358000000.0,67.1367093171019,433000000.0,16.9300211097876
49,5.7,1.82,26.94,3.3,460000000.0,9.493424564671,360000000.0,65.015445434885,435000000.0,17.3691249878315
50,5.7,1.82,26.94,3.4,463000000.0,9.1484749511722,363000000.0,63.870972912193196,438000000.0,17.0914958852934
51,5.7,1.82,26.94,3.5,466000000.0,8.7885424769673,366000000.0,62.7678225139813,441000000.0,16.797880826667
52,5.7,1.82,26.94,3.6,469000000.0,8.4179791518932,369000000.0,61.7059425845582,444000000.0,16.4948225407311
54,5.7,1.82,27.06,3.2,457000000.0,10.006221422404,357000000.0,66.776421979382,432000000.0,17.3636549125917
55,5.7,1.82,27.06,3.3,459000000.0,9.6679399615889,359000000.0,64.7357324074959,434000000.0,17.816061664798397
56,5.7,1.82,27.06,3.4,462000000.0,9.3236407687263,362000000.0,63.6098190955823,437000000.0,17.5325351297298
57,5.7,1.82,27.06,3.5,465000000.0,8.9622201304113,365000000.0,62.5205859861353,440000000.0,17.2299317350136
