Ref,Val,T12,fpeak,gain,fimg,img,fhimg,himg
C101,0.25,2.5,433000000,12.00391394,333000000,72.79222065,383000000,37.95235778
C101,1.245,2.5,433000000,12.00396354,333000000,72.79214209,383000000,37.9523491
C101,2.24,2.5,433000000,12.00396908,333000000,72.79213332,383000000,37.95234813
C101,3.235,2.5,433000000,12.00397121,333000000,72.79212995,383000000,37.95234776
C101,4.23,2.5,433000000,12.00397233,333000000,72.79212816,383000000,37.95234756
C101,5.225,2.5,433000000,12.00397303,333000000,72.79212705,383000000,37.95234744
C101,6.22,2.5,433000000,12.00397351,333000000,72.7921263,383000000,37.95234736
C101,7.215,2.5,433000000,12.00397385,333000000,72.79212576,383000000,37.9523473
C101,8.21,2.5,433000000,12.00397411,333000000,72.79212534,383000000,37.95234725
C101,9.205,2.5,433000000,12.00397432,333000000,72.79212502,383000000,37.95234722
C101,10.2,2.5,433000000,12.00397448,333000000,72.79212476,383000000,37.95234719
C101,11.195,2.5,433000000,12.00397462,333000000,72.79212455,383000000,37.95234716
C101,12.19,2.5,433000000,12.00397473,333000000,72.79212437,383000000,37.95234714
C101,13.185,2.5,433000000,12.00397483,333000000,72.79212421,383000000,37.95234713
C101,14.18,2.5,433000000,12.00397491,333000000,72.79212408,383000000,37.95234711
C101,15.175,2.5,433000000,12.00397498,333000000,72.79212397,383000000,37.9523471
C101,16.17,2.5,433000000,12.00397504,333000000,72.79212387,383000000,37.95234709
C101,17.165,2.5,433000000,12.0039751,333000000,72.79212378,383000000,37.95234708
C101,18.16,2.5,433000000,12.00397515,333000000,72.7921237,383000000,37.95234707
C101,19.155,2.5,433000000,12.00397519,333000000,72.79212363,383000000,37.95234706
C101,20.15,2.5,433000000,12.00397523,333000000,72.79212357,383000000,37.95234705
C101,21.145,2.5,433000000,12.00397527,333000000,72.79212351,383000000,37.95234705
C101,22.14,2.5,433000000,12.0039753,333000000,72.79212346,383000000,37.95234704
C101,23.135,2.5,433000000,12.00397533,333000000,72.79212341,383000000,37.95234704
C101,24.13,2.5,433000000,12.00397536,333000000,72.79212337,383000000,37.95234703
C101,25.125,2.5,433000000,12.00397538,333000000,72.79212333,383000000,37.95234703
C101,26.12,2.5,433000000,12.00397541,333000000,72.79212329,383000000,37.95234702
C101,27.115,2.5,433000000,12.00397543,333000000,72.79212325,383000000,37.95234702
C101,28.11,2.5,433000000,12.00397545,333000000,72.79212322,383000000,37.95234702
C101,29.105,2.5,433000000,12.00397547,333000000,72.79212319,383000000,37.95234701
C101,30.1,2.5,433000000,12.00397549,333000000,72.79212316,383000000,37.95234701
C101,31.095,2.5,433000000,12.0039755,333000000,72.79212314,383000000,37.95234701
C101,32.09,2.5,433000000,12.00397552,333000000,72.79212312,383000000,37.95234701
C101,34.08,2.5,433000000,12.00397555,333000000,72.79212307,383000000,37.952347
C101,33.085,2.5,433000000,12.00397553,333000000,72.79212309,383000000,37.952347
C101,35.075,2.5,433000000,12.00397556,333000000,72.79212305,383000000,37.952347
C101,36.07,2.5,433000000,12.00397557,333000000,72.79212303,383000000,37.952347
C101,37.065,2.5,433000000,12.00397558,333000000,72.79212301,383000000,37.952347
C101,38.06,2.5,433000000,12.00397559,333000000,72.792123,383000000,37.95234699
C101,39.055,2.5,433000000,12.0039756,333000000,72.79212298,383000000,37.95234699
C101,40.05,2.5,433000000,12.00397561,333000000,72.79212296,383000000,37.95234699
C101,41.045,2.5,433000000,12.00397562,333000000,72.79212295,383000000,37.95234699
C101,42.04,2.5,433000000,12.00397563,333000000,72.79212294,383000000,37.95234699
C101,44.03,2.5,433000000,12.00397565,333000000,72.79212291,383000000,37.95234698
C101,45.025,2.5,433000000,12.00397566,333000000,72.7921229,383000000,37.95234698
C101,43.035,2.5,433000000,12.00397564,333000000,72.79212292,383000000,37.95234698
C101,48.01,2.5,433000000,12.00397568,333000000,72.79212286,383000000,37.95234698
C101,46.02,2.5,433000000,12.00397566,333000000,72.79212288,383000000,37.95234698
C101,47.015,2.5,433000000,12.00397567,333000000,72.79212287,383000000,37.95234698
C101,49.005,2.5,433000000,12.00397569,333000000,72.79212285,383000000,37.95234698
C101,50,2.5,433000000,12.00397569,333000000,72.79212284,383000000,37.95234698
C101,0.25,3.5,462000000,9.110159265,362000000,59.74922678,412000000,37.91210518
C101,1.245,3.5,462000000,9.110182889,362000000,59.74913363,412000000,37.9120717
C101,2.24,3.5,462000000,9.110185525,362000000,59.74912324,412000000,37.91206796
C101,3.235,3.5,462000000,9.11018654,362000000,59.74911923,412000000,37.91206653
C101,4.23,3.5,462000000,9.110187077,362000000,59.74911712,412000000,37.91206576
C101,5.225,3.5,462000000,9.11018741,362000000,59.74911581,412000000,37.91206529
C101,6.22,3.5,462000000,9.110187636,362000000,59.74911491,412000000,37.91206497
C101,7.215,3.5,462000000,9.1101878,362000000,59.74911427,412000000,37.91206474
C101,8.21,3.5,462000000,9.110187924,362000000,59.74911378,412000000,37.91206456
C101,9.205,3.5,462000000,9.110188021,362000000,59.74911339,412000000,37.91206443
C101,10.2,3.5,462000000,9.1101881,362000000,59.74911308,412000000,37.91206432
C101,11.195,3.5,462000000,9.110188164,362000000,59.74911283,412000000,37.91206423
C101,12.19,3.5,462000000,9.110188218,362000000,59.74911262,412000000,37.91206415
C101,13.185,3.5,462000000,9.110188264,362000000,59.74911244,412000000,37.91206408
C101,14.18,3.5,462000000,9.110188303,362000000,59.74911228,412000000,37.91206403
C101,15.175,3.5,462000000,9.110188337,362000000,59.74911215,412000000,37.91206398
C101,16.17,3.5,462000000,9.110188367,362000000,59.74911203,412000000,37.91206394
C101,17.165,3.5,462000000,9.110188394,362000000,59.74911193,412000000,37.9120639
C101,18.16,3.5,462000000,9.110188417,362000000,59.74911183,412000000,37.91206387
C101,19.155,3.5,462000000,9.110188439,362000000,59.74911175,412000000,37.91206384
C101,20.15,3.5,462000000,9.110188457,362000000,59.74911167,412000000,37.91206381
C101,21.145,3.5,462000000,9.110188475,362000000,59.74911161,412000000,37.91206379
C101,22.14,3.5,462000000,9.110188491,362000000,59.74911154,412000000,37.91206376
C101,23.135,3.5,462000000,9.110188505,362000000,59.74911149,412000000,37.91206374
C101,24.13,3.5,462000000,9.110188518,362000000,59.74911144,412000000,37.91206372
C101,25.125,3.5,462000000,9.11018853,362000000,59.74911139,412000000,37.91206371
C101,26.12,3.5,462000000,9.110188541,362000000,59.74911134,412000000,37.91206369
C101,27.115,3.5,462000000,9.110188552,362000000,59.7491113,412000000,37.91206368
C101,28.11,3.5,462000000,9.110188561,362000000,59.74911126,412000000,37.91206366
C101,29.105,3.5,462000000,9.11018857,362000000,59.74911123,412000000,37.91206365
C101,30.1,3.5,462000000,9.110188578,362000000,59.7491112,412000000,37.91206364
C101,31.095,3.5,462000000,9.110188586,362000000,59.74911117,412000000,37.91206363
C101,32.09,3.5,462000000,9.110188593,362000000,59.74911114,412000000,37.91206362
C101,33.085,3.5,462000000,9.110188601,362000000,59.74911111,412000000,37.91206361
C101,34.08,3.5,462000000,9.110188607,362000000,59.74911109,412000000,37.9120636
C101,35.075,3.5,462000000,9.110188614,362000000,59.74911106,412000000,37.91206359
C101,36.07,3.5,462000000,9.110188619,362000000,59.74911104,412000000,37.91206358
C101,37.065,3.5,462000000,9.110188626,362000000,59.74911102,412000000,37.91206357
